date,Norddeich_Mole.in,Norddeich_Mole.out,Norddeich.in,Norddeich.out,Norden.in,Norden.out,Emden_Hbf.in,Emden_Hbf.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Papenburg(Ems).in,Papenburg(Ems).out,Papenburg.in,Papenburg.out,Meppen.in,Meppen.out,Lingen/ZOB.in,Lingen/ZOB.out,Lingen(Ems).in,Lingen(Ems).out,Rheine.in,Rheine.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Wanne-Eickel_Hbf.in,Wanne-Eickel_Hbf.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Oberhausen(Rheinl)Hbf.in,Oberhausen(Rheinl)Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Remagen.in,Remagen.out,Andernach.in,Andernach.out,Koblenz_Hbf.in,Koblenz_Hbf.out
2024-04-23,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,6.0,5.0,4.0,6.0,7.0,8.0,7.0,14.0,14.0,17.0,17.0,15.0,15.0,16.0,-1.0
2024-04-22,-1.0,0.0,0.0,0.0,0.0,10.0,11.0,13.0,11.0,12.0,11.0,12.0,11.0,11.0,10.0,11.0,9.0,8.0,9.0,8.0,9.0,9.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,47.0,47.0,47.0,52.0,55.0,64.0,65.0,62.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,4.0,3.0,3.0,8.0,8.0,7.0,6.0,10.0,-1.0
2024-04-20,-1.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,50.0,49.0,48.0,48.0,49.0,49.0,46.0,46.0,53.0,57.0,56.0,56.0,54.0,53.0,55.0,-1.0
2024-04-19,-1.0,1.0,0.0,0.0,0.0,8.0,6.0,7.0,7.0,8.0,5.0,7.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,13.0,13.0,12.0,11.0,12.0,12.0,12.0,12.0,14.0,18.0,22.0,22.0,21.0,21.0,19.0,-1.0
2024-04-18,-1.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,14.0,14.0,13.0,13.0,14.0,15.0,21.0,20.0,26.0,26.0,25.0,25.0,24.0,24.0,24.0,-1.0
2024-04-17,-1.0,15.0,0.0,0.0,10.0,8.0,7.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,19.0,18.0,18.0,20.0,24.0,24.0,22.0,22.0,25.0,26.0,26.0,25.0,26.0,25.0,29.0,-1.0
2024-04-16,-1.0,1.0,0.0,0.0,0.0,12.0,12.0,9.0,11.0,12.0,10.0,11.0,10.0,10.0,9.0,10.0,0.0,0.0,10.0,10.0,10.0,11.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,19.0,18.0,17.0,17.0,18.0,18.0,17.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,22.0,-1.0
2024-04-15,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,190.0,190.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-14,-1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,7.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-1.0
