date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Bingen(Rhein)_Hbf.in,Bingen(Rhein)_Hbf.out,Bingen_Hbf.in,Bingen_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Andernach.in,Andernach.out,Remagen.in,Remagen.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Berlin_Zoologischer_Garten.in,Berlin_Zoologischer_Garten.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-04-24,-1.0,3.0,0.0,0.0,4.0,4.0,7.0,7.0,6.0,6.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,8.0,7.0,7.0,7.0,12.0,12.0,14.0,14.0,16.0,16.0,16.0,16.0,0.0,0.0,22.0,23.0,25.0,26.0,8.0,8.0,10.0,9.0,0.0,0.0
2024-04-23,-1.0,0.0,0.0,1.0,6.0,7.0,13.0,14.0,18.0,19.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,18.0,17.0,17.0,17.0,15.0,16.0,26.0,25.0,24.0,24.0,29.0,31.0,0.0,0.0,14.0,13.0,13.0,13.0,7.0,7.0,4.0,-1.0,0.0,0.0
2024-04-22,-1.0,9.0,4.0,3.0,6.0,6.0,10.0,12.0,11.0,10.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,6.0,0.0,0.0,10.0,9.0,19.0,18.0,16.0,15.0,22.0,-1.0,0.0,0.0
2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,6.0,16.0,16.0,16.0,15.0,0.0,0.0,16.0,17.0,19.0,19.0,11.0,11.0,12.0,-1.0,0.0,0.0
2024-04-20,-1.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,-1.0,-1.0,-1.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,48.0,47.0,48.0,48.0,47.0,47.0,49.0,50.0,48.0,48.0,51.0,54.0,0.0,0.0,1.0,1.0,60.0,61.0,7.0,7.0,58.0,-1.0,0.0,0.0
2024-04-19,-1.0,5.0,3.0,2.0,5.0,5.0,10.0,11.0,19.0,19.0,0.0,0.0,17.0,16.0,0.0,0.0,0.0,0.0,16.0,15.0,15.0,14.0,13.0,13.0,12.0,12.0,10.0,10.0,10.0,10.0,0.0,0.0,7.0,7.0,5.0,5.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-18,-1.0,3.0,6.0,5.0,6.0,6.0,5.0,6.0,4.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,6.0,6.0,3.0,-1.0,0.0,0.0
2024-04-17,-1.0,2.0,10.0,9.0,9.0,9.0,28.0,27.0,26.0,26.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,24.0,23.0,23.0,26.0,26.0,24.0,23.0,27.0,27.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0
2024-04-15,-1.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,8.0,9.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,8.0,7.0,2.0,1.0,36.0,36.0,33.0,32.0,0.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,6.0,6.0,2.0,3.0,17.0,16.0,22.0,-1.0,0.0,0.0
2024-04-13,-1.0,2.0,0.0,0.0,3.0,3.0,6.0,5.0,5.0,5.0,-1.0,0.0,3.0,2.0,8.0,10.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,6.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,2.0,-1.0,0.0,0.0
2024-04-12,-1.0,2.0,2.0,2.0,6.0,6.0,12.0,12.0,12.0,12.0,-1.0,0.0,10.0,9.0,30.0,33.0,30.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,29.0,30.0,0.0,0.0,26.0,25.0,23.0,24.0,18.0,19.0,19.0,-1.0,0.0,0.0
2024-04-11,-1.0,1.0,6.0,7.0,7.0,9.0,10.0,11.0,14.0,13.0,-1.0,0.0,11.0,10.0,19.0,20.0,14.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,17.0,17.0,0.0,0.0,5.0,5.0,19.0,20.0,14.0,15.0,1.0,-1.0,0.0,0.0
2024-04-10,-1.0,0.0,2.0,1.0,2.0,2.0,5.0,5.0,4.0,3.0,-1.0,0.0,6.0,4.0,13.0,14.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,13.0,13.0,0.0,0.0,17.0,17.0,9.0,8.0,22.0,22.0,10.0,-1.0,0.0,0.0
2024-04-09,-1.0,3.0,4.0,4.0,5.0,7.0,14.0,14.0,13.0,13.0,-1.0,0.0,13.0,12.0,25.0,25.0,20.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,27.0,0.0,0.0,29.0,30.0,45.0,46.0,20.0,20.0,45.0,44.0,44.0,-1.0
2024-04-08,-1.0,0.0,0.0,0.0,7.0,7.0,8.0,10.0,8.0,8.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,7.0,6.0,5.0,6.0,11.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,65.0,65.0,90.0,89.0,85.0,84.0,83.0,82.0,82.0,-1.0
2024-04-06,-1.0,19.0,16.0,15.0,19.0,20.0,29.0,29.0,32.0,32.0,0.0,0.0,32.0,31.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,33.0,33.0,34.0,35.0,36.0,42.0,43.0,48.0,49.0,41.0,-1.0,48.0,49.0,46.0,45.0,41.0,42.0,51.0,-1.0,0.0,0.0
2024-04-05,-1.0,2.0,4.0,3.0,6.0,7.0,5.0,5.0,5.0,5.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,6.0,6.0,3.0,-1.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,-1.0,0.0,0.0
2024-04-04,-1.0,2.0,-1.0,0.0,13.0,13.0,20.0,21.0,26.0,26.0,-1.0,0.0,24.0,23.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,22.0,24.0,24.0,24.0,24.0,25.0,24.0,24.0,24.0,0.0,0.0,40.0,39.0,5.0,5.0,52.0,51.0,1.0,1.0,0.0,-1.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,22.0,27.0,31.0,29.0,29.0,30.0,26.0,-1.0
