date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Montabaur.in,Montabaur.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out
2024-04-25,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,16.0,16.0,24.0,17.0,19.0,19.0,21.0,21.0,0.0,0.0,6.0,7.0,0.0,0.0,7.0,6.0,0.0,0.0,22.0,-1.0
2024-04-24,-1.0,0.0,1.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,27.0,27.0,27.0,27.0,18.0,18.0,15.0,15.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,21.0,-1.0
2024-04-23,-1.0,1.0,-1.0,2.0,6.0,5.0,4.0,4.0,1.0,1.0,2.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,18.0,18.0,17.0,10.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,8.0,12.0,31.0,31.0,12.0,11.0,0.0,0.0,28.0,-1.0
2024-04-22,-1.0,1.0,-1.0,2.0,6.0,5.0,6.0,6.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,19.0,19.0,18.0,18.0,0.0,0.0,0.0,0.0,12.0,12.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,16.0,-1.0
2024-04-20,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,6.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,8.0,9.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,-1.0
2024-04-19,0.0,0.0,-1.0,37.0,53.0,53.0,52.0,51.0,41.0,40.0,37.0,33.0,32.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,38.0,41.0,42.0,42.0,35.0,33.0,32.0,32.0,32.0,0.0,0.0,29.0,31.0,0.0,0.0,34.0,34.0,0.0,0.0,30.0,-1.0
2024-04-18,0.0,0.0,-1.0,10.0,9.0,9.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,11.0,11.0,13.0,13.0,0.0,0.0,0.0,0.0,11.0,11.0,3.0,4.0,16.0,16.0,5.0,5.0,0.0,0.0,23.0,-1.0
2024-04-17,0.0,0.0,-1.0,47.0,47.0,47.0,55.0,55.0,57.0,56.0,56.0,53.0,55.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,54.0,54.0,58.0,58.0,0.0,0.0,0.0,0.0,58.0,59.0,52.0,53.0,57.0,55.0,53.0,52.0,0.0,0.0,55.0,-1.0
2024-04-16,0.0,0.0,-1.0,11.0,15.0,15.0,13.0,13.0,2.0,1.0,3.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,5.0,4.0,2.0,3.0,0.0,0.0,3.0,-1.0
2024-04-15,0.0,0.0,-1.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,3.0,3.0,5.0,3.0,2.0,0.0,0.0,5.0,-1.0
