date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Herford.in,Herford.out,Bad_Oeynhausen.in,Bad_Oeynhausen.out,Minden(Westf).in,Minden(Westf).out,Hannover_Hbf.in,Hannover_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Köthen.in,Köthen.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Leipzig/Halle_Flughafen.in,Leipzig/Halle_Flughafen.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Riesa.in,Riesa.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Dresden_Hbf.in,Dresden_Hbf.out
2024-04-12,-1.0,8.0,7.0,7.0,3.0,4.0,5.0,5.0,8.0,8.0,8.0,9.0,0.0,0.0,11.0,16.0,17.0,16.0,0.0,0.0,18.0,17.0,0.0,0.0,16.0,15.0,16.0,16.0,17.0,16.0,16.0,15.0,15.0,14.0,13.0,13.0,12.0,12.0,12.0,12.0,11.0,12.0,9.0,1.0,1.0,1.0,1.0,15.0,22.0,22.0,23.0,23.0,25.0,25.0,25.0,24.0,23.0,23.0,24.0,24.0,22.0,-1.0
2024-04-11,-1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,8.0,8.0,13.0,12.0,0.0,0.0,8.0,8.0,11.0,14.0,0.0,0.0,15.0,14.0,0.0,0.0,15.0,15.0,27.0,27.0,27.0,27.0,31.0,32.0,36.0,36.0,34.0,34.0,32.0,32.0,33.0,35.0,34.0,34.0,37.0,21.0,26.0,27.0,29.0,26.0,31.0,29.0,34.0,34.0,34.0,34.0,33.0,30.0,29.0,29.0,29.0,29.0,30.0,-1.0
2024-04-10,-1.0,1.0,1.0,1.0,4.0,5.0,5.0,5.0,6.0,6.0,3.0,3.0,0.0,0.0,16.0,16.0,19.0,19.0,0.0,0.0,-1.0,-1.0,24.0,24.0,34.0,33.0,34.0,34.0,34.0,34.0,39.0,39.0,47.0,50.0,47.0,47.0,46.0,46.0,46.0,46.0,45.0,45.0,44.0,29.0,26.0,26.0,31.0,32.0,31.0,31.0,30.0,31.0,30.0,31.0,31.0,27.0,28.0,28.0,26.0,26.0,22.0,-1.0
2024-04-09,-1.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,6.0,7.0,3.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,11.0,10.0,10.0,10.0,10.0,10.0,12.0,14.0,15.0,24.0,106.0,114.0,130.0,130.0,131.0,131.0,129.0,128.0,133.0,133.0,134.0,135.0,136.0,133.0,130.0,131.0,131.0,129.0,131.0,-1.0
2024-04-08,-1.0,0.0,0.0,0.0,1.0,2.0,7.0,7.0,12.0,10.0,6.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,6.0,7.0,-1.0,-1.0,10.0,9.0,-1.0,-1.0,-1.0,-1.0,60.0,57.0,65.0,66.0,67.0,66.0,64.0,64.0,61.0,62.0,60.0,60.0,60.0,60.0,59.0,43.0,44.0,43.0,58.0,57.0,53.0,52.0,106.0,106.0,106.0,107.0,110.0,109.0,107.0,108.0,107.0,108.0,107.0,-1.0
2024-04-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,5.0,5.0,3.0,2.0,1.0,1.0,4.0,3.0,5.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,4.0,6.0,9.0,8.0,6.0,7.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,0.0,1.0,1.0,6.0,5.0,5.0,4.0,4.0,27.0,27.0,28.0,29.0,31.0,40.0,41.0,42.0,41.0,39.0,-1.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,9.0,10.0,9.0,13.0,13.0,11.0,12.0,10.0,11.0,13.0,14.0,13.0,14.0,14.0,4.0,1.0,1.0,2.0,16.0,19.0,18.0,26.0,25.0,21.0,22.0,23.0,21.0,18.0,19.0,18.0,17.0,21.0,-1.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,9.0,9.0,9.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,6.0,0.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,0.0,0.0,1.0,4.0,3.0,1.0,-1.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,4.0,4.0,2.0,2.0,4.0,6.0,16.0,17.0,19.0,19.0,20.0,13.0,14.0,15.0,15.0,13.0,9.0,10.0,8.0,8.0,5.0,-1.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,21.0,19.0,19.0,0.0,0.0,20.0,20.0,18.0,19.0,22.0,22.0,24.0,25.0,22.0,6.0,7.0,7.0,5.0,9.0,13.0,12.0,12.0,6.0,6.0,6.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,-1.0,-1.0,15.0,16.0,19.0,20.0,23.0,23.0,24.0,17.0,16.0,17.0,17.0,12.0,8.0,9.0,8.0,8.0,6.0,-1.0
