date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Mainz_Hbf.in,Mainz_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Andernach.in,Andernach.out,Remagen.in,Remagen.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,7.0,7.0,14.0,13.0,23.0,21.0,31.0,30.0,29.0,29.0,17.0,17.0,18.0,-1.0,0.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,7.0,6.0,2.0,2.0,5.0,6.0,4.0,4.0,5.0,5.0,0.0,0.0,1.0,-1.0,0.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,2.0,5.0,4.0,7.0,6.0,2.0,3.0,4.0,3.0,0.0,0.0,1.0,-1.0,0.0,0.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.0,2.0,2.0,9.0,9.0,7.0,7.0,7.0,6.0,0.0,0.0,8.0,-1.0,0.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,-1.0,1.0,0.0,1.0,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,12.0,11.0,13.0,13.0,10.0,9.0,3.0,3.0,1.0,-1.0,0.0,0.0
2024-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,5.0,5.0,7.0,7.0,5.0,5.0,2.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0
2024-04-12,-1.0,0.0,1.0,2.0,2.0,2.0,19.0,19.0,18.0,16.0,16.0,16.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,23.0,23.0,17.0,18.0,16.0,17.0,4.0,3.0,3.0,-1.0,0.0,0.0
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,5.0,7.0,7.0,7.0,7.0,5.0,4.0,27.0,27.0,13.0,13.0,14.0,-1.0,0.0,0.0
2024-04-09,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,10.0,10.0,4.0,-1.0,0.0,0.0
2024-04-08,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,30.0,31.0,3.0,3.0,21.0,-1.0,0.0,0.0
2024-04-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,6.0,1.0,1.0,0.0,8.0,0.0,0.0,1.0,-1.0,0.0,0.0
2024-04-06,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,6.0,6.0,6.0,6.0,5.0,6.0,20.0,25.0,15.0,14.0,15.0,-1.0,0.0,0.0
2024-04-05,-1.0,2.0,2.0,3.0,2.0,3.0,0.0,0.0,9.0,7.0,9.0,10.0,0.0,0.0,9.0,10.0,8.0,8.0,6.0,6.0,7.0,8.0,6.0,6.0,5.0,6.0,5.0,5.0,3.0,4.0,0.0,-1.0,6.0,-1.0,0.0,0.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,6.0,12.0,12.0,13.0,13.0,13.0,13.0,18.0,18.0,0.0,0.0,18.0,-1.0,0.0,0.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,8.0,8.0,11.0,13.0,11.0,10.0,8.0,7.0,5.0,4.0,2.0,-1.0,0.0,0.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,12.0,12.0,12.0,15.0,14.0,15.0,14.0,19.0,18.0,12.0,12.0,13.0,-1.0,0.0,0.0
2024-04-01,-1.0,8.0,7.0,6.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,5.0,5.0,10.0,11.0,8.0,9.0,0.0,-1.0,0.0,0.0,0.0,-1.0
