date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Limburg_Süd.in,Limburg_Süd.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-04-27,-1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,11.0,14.0,14.0,9.0,32.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,35.0,35.0,35.0,34.0,34.0,34.0,32.0,30.0,34.0,35.0,32.0,32.0,26.0,27.0,27.0,26.0,28.0,28.0,33.0,33.0,31.0,-1.0
2024-04-26,-1.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,10.0,10.0,9.0,4.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,-1.0,16.0,-1.0,16.0,-1.0,-1.0
2024-04-25,-1.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,5.0,4.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,22.0,0.0,0.0,22.0,22.0,23.0,23.0,23.0,24.0,23.0,21.0,21.0,21.0,18.0,18.0,12.0,12.0,11.0,10.0,10.0,10.0,17.0,17.0,15.0,-1.0
2024-04-24,-1.0,19.0,19.0,19.0,18.0,17.0,14.0,15.0,1.0,1.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,27.0,43.0,43.0,55.0,55.0,54.0,53.0,55.0,56.0,65.0,67.0,63.0,65.0,81.0,80.0,83.0,82.0,101.0,99.0,99.0,-1.0
2024-04-23,-1.0,1.0,0.0,1.0,6.0,5.0,2.0,2.0,6.0,5.0,3.0,1.0,20.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,25.0,0.0,0.0,26.0,33.0,32.0,34.0,34.0,36.0,37.0,40.0,43.0,43.0,39.0,39.0,35.0,35.0,32.0,31.0,34.0,34.0,33.0,32.0,33.0,-1.0
2024-04-22,-1.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,0.0,0.0,18.0,19.0,20.0,20.0,23.0,24.0,26.0,26.0,28.0,26.0,23.0,24.0,17.0,18.0,17.0,15.0,20.0,20.0,21.0,20.0,18.0,-1.0
2024-04-21,-1.0,2.0,3.0,3.0,12.0,12.0,11.0,11.0,16.0,16.0,14.0,12.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,12.0,12.0,10.0,9.0,10.0,10.0,11.0,9.0,9.0,9.0,6.0,25.0,17.0,19.0,16.0,15.0,17.0,16.0,21.0,19.0,19.0,-1.0
2024-04-20,-1.0,3.0,3.0,4.0,8.0,8.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,5.0,6.0,3.0,4.0,4.0,6.0,5.0,4.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.0
2024-04-17,0.0,0.0,-1.0,0.0,1.0,0.0,6.0,6.0,3.0,2.0,3.0,4.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,6.0,9.0,10.0,10.0,9.0,8.0,7.0,6.0,5.0,5.0,5.0,0.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,2.0,-1.0
2024-04-16,0.0,0.0,-1.0,1.0,5.0,4.0,10.0,10.0,10.0,12.0,10.0,6.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,15.0,15.0,16.0,15.0,14.0,14.0,19.0,18.0,16.0,14.0,10.0,10.0,2.0,2.0,0.0,0.0,0.0,-1.0,2.0,1.0,2.0,-1.0
