date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-04-11,-1.0,0.0,-1.0,1.0,1.0,3.0,1.0,2.0,10.0,14.0,20.0,20.0,21.0,23.0,0.0,0.0,23.0,23.0,0.0,0.0,25.0,25.0,27.0,-1.0
2024-04-09,-1.0,15.0,15.0,14.0,14.0,13.0,12.0,13.0,29.0,30.0,35.0,36.0,36.0,38.0,0.0,0.0,39.0,38.0,0.0,0.0,44.0,44.0,50.0,-1.0
2024-04-08,-1.0,26.0,26.0,23.0,23.0,25.0,19.0,20.0,18.0,29.0,29.0,30.0,31.0,29.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-07,-1.0,4.0,4.0,5.0,5.0,7.0,4.0,5.0,1.0,1.0,3.0,4.0,10.0,15.0,0.0,0.0,15.0,15.0,15.0,-1.0,16.0,16.0,0.0,0.0
2024-04-06,-1.0,2.0,-1.0,1.0,-1.0,1.0,4.0,7.0,8.0,9.0,11.0,11.0,10.0,14.0,0.0,0.0,15.0,15.0,11.0,-1.0,16.0,18.0,0.0,0.0
2024-04-05,-1.0,0.0,-1.0,1.0,-1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
2024-04-04,-1.0,0.0,-1.0,1.0,-1.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,11.0,15.0,0.0,0.0,13.0,13.0,8.0,-1.0,13.0,13.0,0.0,0.0
2024-04-03,-1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,9.0,12.0,0.0,0.0,65.0,65.0,62.0,-1.0,66.0,66.0,0.0,0.0
2024-04-02,-1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,15.0,19.0,0.0,0.0,19.0,20.0,15.0,-1.0,21.0,20.0,0.0,0.0
2024-04-01,-1.0,5.0,5.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,13.0,14.0,25.0,27.0,0.0,0.0,26.0,26.0,23.0,-1.0,28.0,29.0,0.0,0.0
