date,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Itzehoe.in,Itzehoe.out,Heide(Holst).in,Heide(Holst).out,Husum.in,Husum.out,Niebüll.in,Niebüll.out,Niebüll_neg.in,Niebüll_neg.out,Dagebüll_Mole.in,Dagebüll_Mole.out
2024-04-29,-1.0,2.0,0.0,0.0,2.0,3.0,5.0,4.0,5.0,5.0,5.0,7.0,6.0,7.0,18.0,17.0,19.0,20.0,19.0,23.0,24.0,24.0,30.0,34.0,34.0,34.0,35.0,37.0,39.0,40.0,39.0,48.0,57.0,57.0,56.0,57.0,56.0,-1.0
2024-04-28,-1.0,2.0,0.0,0.0,5.0,6.0,6.0,4.0,4.0,4.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,2.0,3.0,4.0,6.0,7.0,6.0,11.0,13.0,13.0,12.0,13.0,12.0,-1.0
2024-04-27,-1.0,2.0,0.0,0.0,1.0,1.0,19.0,19.0,20.0,21.0,21.0,22.0,20.0,17.0,17.0,16.0,14.0,15.0,9.0,10.0,5.0,6.0,8.0,10.0,10.0,10.0,26.0,27.0,31.0,32.0,32.0,39.0,42.0,42.0,45.0,45.0,37.0,-1.0
2024-04-26,-1.0,-1.0,0.0,0.0,-1.0,28.0,31.0,30.0,30.0,31.0,-1.0,-1.0,47.0,45.0,49.0,50.0,48.0,49.0,45.0,50.0,49.0,50.0,67.0,69.0,69.0,70.0,71.0,72.0,79.0,79.0,79.0,79.0,83.0,83.0,-1.0,83.0,-1.0,-1.0
2024-04-25,-1.0,6.0,0.0,0.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,18.0,18.0,17.0,18.0,21.0,26.0,26.0,29.0,28.0,32.0,32.0,32.0,32.0,41.0,-1.0
2024-04-23,-1.0,-1.0,0.0,0.0,-1.0,51.0,52.0,52.0,51.0,51.0,52.0,53.0,56.0,57.0,61.0,61.0,60.0,58.0,74.0,74.0,77.0,77.0,78.0,77.0,77.0,77.0,85.0,87.0,88.0,88.0,87.0,87.0,90.0,90.0,-1.0,90.0,-1.0,-1.0
2024-04-22,-1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,9.0,8.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,4.0,-1.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,7.0,6.0,6.0,6.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0
2024-04-20,-1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0,5.0,7.0,8.0,10.0,13.0,14.0,14.0,14.0,14.0,18.0,19.0,16.0,-1.0
2024-04-19,-1.0,2.0,0.0,0.0,2.0,3.0,4.0,5.0,4.0,5.0,5.0,7.0,9.0,12.0,70.0,67.0,64.0,68.0,62.0,65.0,63.0,63.0,65.0,68.0,67.0,69.0,87.0,86.0,89.0,89.0,89.0,91.0,99.0,98.0,-1.0,99.0,-1.0,-1.0
