date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-04-11,-1.0,0.0,-1.0,1.0,1.0,3.0,1.0,2.0,10.0,14.0,20.0,20.0,21.0,23.0,18.0,20.0,27.0,27.0,0.0,0.0,0.0,0.0,27.0,25.0,26.0,26.0,24.0,25.0,22.0,-1.0
2024-04-10,-1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,2.0,8.0,7.0,7.0,7.0,7.0,7.0,3.0,2.0,0.0,0.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,4.0,-1.0
2024-04-09,-1.0,15.0,15.0,14.0,14.0,13.0,12.0,13.0,29.0,30.0,35.0,36.0,36.0,39.0,39.0,39.0,0.0,0.0,39.0,40.0,39.0,38.0,38.0,37.0,39.0,38.0,39.0,39.0,42.0,-1.0
2024-04-08,-1.0,26.0,26.0,23.0,23.0,25.0,19.0,20.0,18.0,29.0,29.0,30.0,32.0,33.0,31.0,30.0,0.0,0.0,34.0,36.0,35.0,35.0,35.0,34.0,34.0,33.0,34.0,34.0,32.0,-1.0
2024-04-07,-1.0,4.0,4.0,5.0,5.0,7.0,4.0,5.0,1.0,1.0,3.0,4.0,10.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-06,-1.0,2.0,-1.0,1.0,-1.0,1.0,4.0,7.0,8.0,9.0,11.0,11.0,11.0,13.0,10.0,15.0,0.0,0.0,16.0,16.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-05,-1.0,-1.0,-1.0,1.0,-1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-04,-1.0,0.0,-1.0,1.0,-1.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,12.0,13.0,9.0,8.0,0.0,0.0,10.0,11.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-03,-1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,9.0,10.0,9.0,9.0,0.0,0.0,8.0,8.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-02,-1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,16.0,19.0,15.0,14.0,0.0,0.0,17.0,18.0,16.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,-1.0,5.0,5.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,13.0,14.0,25.0,28.0,23.0,22.0,0.0,0.0,24.0,25.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
