date,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Limburg_Süd.in,Limburg_Süd.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Montabaur.in,Montabaur.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-04-19,6.0,10.0,-1.0,0.0,13.0,12.0,27.0,28.0,32.0,34.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,21.0,22.0,22.0,32.0,32.0,22.0,21.0,20.0,20.0,17.0,-1.0,0.0,0.0
2024-04-18,0.0,1.0,-1.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,-1.0,0.0,0.0
2024-04-17,10.0,13.0,-1.0,3.0,14.0,14.0,17.0,18.0,25.0,32.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,42.0,42.0,30.0,30.0,41.0,37.0,31.0,31.0,33.0,-1.0,0.0,0.0
2024-04-14,0.0,2.0,-1.0,0.0,1.0,1.0,0.0,1.0,3.0,11.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,4.0,11.0,11.0,3.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0
2024-04-11,4.0,8.0,-1.0,0.0,8.0,8.0,3.0,4.0,4.0,7.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,10.0,10.0,7.0,6.0,8.0,5.0,2.0,1.0,2.0,-1.0,0.0,0.0
2024-04-10,1.0,10.0,-1.0,1.0,13.0,14.0,32.0,31.0,36.0,41.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,38.0,37.0,41.0,40.0,37.0,34.0,29.0,29.0,31.0,-1.0,0.0,0.0
2024-04-09,3.0,9.0,-1.0,0.0,14.0,14.0,14.0,15.0,22.0,24.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,21.0,21.0,21.0,25.0,24.0,23.0,23.0,13.0,13.0,11.0,-1.0,0.0,0.0
2024-04-08,-1.0,12.0,-1.0,-1.0,10.0,9.0,9.0,10.0,11.0,13.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,12.0,12.0,5.0,5.0,2.0,2.0,2.0,-1.0,0.0,0.0
2024-04-07,7.0,10.0,-1.0,0.0,10.0,9.0,15.0,16.0,21.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
2024-04-06,4.0,8.0,-1.0,0.0,4.0,4.0,6.0,9.0,4.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0
2024-04-04,16.0,17.0,-1.0,1.0,25.0,24.0,21.0,20.0,29.0,33.0,23.0,19.0,0.0,0.0,0.0,0.0,16.0,14.0,14.0,6.0,0.0,0.0,11.0,11.0,0.0,0.0,33.0,32.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0
2024-04-03,13.0,12.0,-1.0,0.0,20.0,20.0,16.0,16.0,29.0,31.0,34.0,29.0,0.0,0.0,0.0,0.0,22.0,20.0,30.0,22.0,0.0,0.0,23.0,22.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,23.0,-1.0,0.0,0.0
2024-04-02,2.0,2.0,-1.0,1.0,6.0,5.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-01,0.0,4.0,-1.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
