date,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Minden(Westf).in,Minden(Westf).out,Hannover_Hbf.in,Hannover_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-04-16,-1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-15,-1.0,0.0,-1.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,0.0,1.0,7.0,7.0,3.0,3.0,7.0,6.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,-1.0
2024-04-14,-1.0,3.0,-1.0,4.0,5.0,53.0,52.0,54.0,55.0,56.0,54.0,53.0,53.0,54.0,13.0,13.0,53.0,54.0,10.0,9.0,54.0,54.0,3.0,3.0,46.0,45.0,46.0,-1.0
2024-04-13,-1.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,1.0,4.0,5.0,5.0,4.0,4.0,2.0,1.0,19.0,19.0,0.0,0.0,9.0,8.0,7.0,-1.0
2024-04-12,-1.0,7.0,-1.0,-1.0,10.0,12.0,14.0,15.0,15.0,15.0,14.0,13.0,14.0,17.0,17.0,18.0,17.0,16.0,16.0,17.0,13.0,13.0,4.0,3.0,2.0,3.0,1.0,-1.0
2024-04-11,-1.0,16.0,-1.0,-1.0,24.0,24.0,24.0,24.0,23.0,24.0,21.0,20.0,21.0,21.0,15.0,14.0,24.0,24.0,13.0,13.0,23.0,23.0,1.0,1.0,11.0,11.0,17.0,-1.0
2024-04-10,-1.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,3.0,2.0,0.0,1.0,5.0,4.0,4.0,4.0,27.0,27.0,29.0,29.0,13.0,13.0,18.0,18.0,39.0,-1.0
2024-04-08,-1.0,2.0,1.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,30.0,31.0,8.0,8.0,3.0,3.0,5.0,2.0,11.0,-1.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,3.0,5.0,6.0,3.0,3.0,20.0,25.0,15.0,15.0,15.0,14.0,7.0,6.0,5.0,-1.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,3.0,0.0,0.0,1.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,4.0,4.0,8.0,7.0,6.0,5.0,13.0,13.0,13.0,13.0,18.0,18.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,3.0,3.0,5.0,4.0,7.0,11.0,10.0,7.0,7.0,8.0,7.0,9.0,10.0,5.0,4.0,1.0,1.0,1.0,-1.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,15.0,14.0,1.0,2.0,19.0,18.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,-1.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,16.0,15.0,15.0,13.0,13.0,10.0,11.0,10.0,10.0,8.0,9.0,7.0,8.0,4.0,4.0,2.0,2.0,0.0,-1.0
