date,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Minden(Westf).in,Minden(Westf).out,Hannover_Hbf.in,Hannover_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-04-10,-1.0,25.0,43.0,44.0,45.0,44.0,53.0,57.0,57.0,58.0,58.0,59.0,58.0,59.0,64.0,65.0,2.0,2.0,73.0,74.0,75.0,77.0,75.0,76.0,0.0,0.0,64.0,63.0,66.0,-1.0
2024-04-09,-1.0,5.0,6.0,8.0,9.0,8.0,10.0,10.0,10.0,12.0,11.0,12.0,11.0,11.0,9.0,10.0,19.0,23.0,21.0,20.0,25.0,24.0,23.0,23.0,19.0,18.0,21.0,21.0,24.0,-1.0
2024-04-08,-1.0,2.0,3.0,6.0,4.0,4.0,10.0,10.0,9.0,10.0,11.0,11.0,10.0,10.0,9.0,13.0,31.0,30.0,12.0,14.0,30.0,29.0,12.0,12.0,7.0,6.0,5.0,4.0,18.0,-1.0
2024-04-07,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,3.0,3.0,3.0,0.0,0.0,0.0,10.0,13.0,13.0,10.0,11.0,12.0,11.0,7.0,8.0,0.0,0.0,1.0,0.0,0.0,-1.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,7.0,7.0,43.0,71.0,97.0,105.0,73.0,73.0,99.0,99.0,61.0,60.0,66.0,-1.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,4.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,6.0,6.0,5.0,4.0,-1.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,3.0,3.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,3.0,2.0,9.0,10.0,8.0,9.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,15.0,14.0,1.0,2.0,12.0,13.0,0.0,1.0,82.0,85.0,80.0,79.0,6.0,5.0,75.0,-1.0
