date,Ostseebad_Binz.in,Ostseebad_Binz.out,Bergen_auf_Rügen.in,Bergen_auf_Rügen.out,Stralsund_Hbf.in,Stralsund_Hbf.out,Ribnitz-Damgarten_West.in,Ribnitz-Damgarten_West.out,Greifswald.in,Greifswald.out,Züssow.in,Züssow.out,Anklam.in,Anklam.out,Pasewalk.in,Pasewalk.out,Prenzlau.in,Prenzlau.out,Neustrelitz_Hbf.in,Neustrelitz_Hbf.out,Angermünde.in,Angermünde.out,Eberswalde_Hbf.in,Eberswalde_Hbf.out,Bernau(b_Berlin).in,Bernau(b_Berlin).out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Lutherstadt_Wittenberg_Hbf.in,Lutherstadt_Wittenberg_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Erlangen.in,Erlangen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-04-15,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,5.0,47.0,47.0,42.0,42.0,42.0,44.0,45.0,43.0,44.0,40.0,41.0,34.0,33.0,33.0,35.0,42.0,-1.0
2024-04-14,-1.0,1.0,4.0,5.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,12.0,11.0,12.0,13.0,24.0,26.0,-1.0
2024-04-13,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,4.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,-1.0,2.0,2.0,2.0,6.0,6.0,6.0,4.0,6.0,3.0,4.0,3.0,3.0,7.0,7.0,8.0,7.0,8.0,-1.0
2024-04-12,-1.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,7.0,42.0,51.0,50.0,48.0,48.0,49.0,48.0,42.0,42.0,38.0,38.0,39.0,38.0,50.0,-1.0
2024-04-11,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,3.0,2.0,1.0,8.0,7.0,7.0,12.0,13.0,14.0,3.0,13.0,13.0,8.0,9.0,13.0,12.0,6.0,-1.0
2024-04-09,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,6.0,0.0,0.0,6.0,6.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,15.0,15.0,16.0,14.0,15.0,18.0,17.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,6.0,5.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,5.0,4.0,4.0,4.0,7.0,6.0,7.0,6.0,10.0,-1.0
2024-04-07,-1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,1.0,0.0,6.0,5.0,6.0,3.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,-1.0
2024-04-06,-1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,-1.0,1.0,41.0,41.0,40.0,41.0,42.0,47.0,48.0,45.0,46.0,65.0,66.0,61.0,62.0,61.0,63.0,60.0,-1.0
2024-04-05,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,4.0,4.0,10.0,7.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0,0.0,2.0,3.0,4.0,3.0,2.0,1.0,-1.0
2024-04-04,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,6.0,6.0,6.0,0.0,0.0,4.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,5.0,14.0,15.0,14.0,16.0,11.0,12.0,7.0,7.0,9.0,9.0,27.0,-1.0
2024-04-03,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,-1.0,1.0,2.0,1.0,4.0,5.0,5.0,4.0,5.0,6.0,7.0,2.0,3.0,1.0,1.0,1.0,0.0,3.0,-1.0
2024-04-02,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,6.0,5.0,0.0,0.0,4.0,4.0,3.0,2.0,2.0,-1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,-1.0
2024-04-01,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,5.0,6.0,5.0,2.0,2.0,3.0,4.0,5.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,-1.0
