date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-04-18,-1.0,0.0,-1.0,1.0,-1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,-1.0
2024-04-17,-1.0,-1.0,-1.0,1.0,0.0,0.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,13.0,14.0,11.0,12.0,0.0,0.0,12.0,11.0,12.0,11.0,12.0,12.0,14.0,14.0,12.0,12.0,11.0,-1.0
2024-04-15,-1.0,5.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,5.0,11.0,13.0,9.0,10.0,0.0,0.0,9.0,8.0,10.0,9.0,10.0,9.0,12.0,12.0,10.0,10.0,9.0,-1.0
2024-04-14,-1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,4.0,5.0,6.0,6.0,8.0,7.0,0.0,0.0,0.0,0.0,6.0,6.0,10.0,10.0,12.0,12.0,9.0,-1.0
2024-04-13,-1.0,0.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,8.0,8.0,8.0,4.0,-1.0
2024-04-12,-1.0,4.0,-1.0,3.0,-1.0,6.0,5.0,7.0,0.0,1.0,3.0,3.0,5.0,6.0,6.0,9.0,9.0,9.0,13.0,12.0,0.0,0.0,0.0,0.0,17.0,18.0,17.0,17.0,19.0,19.0,12.0,-1.0
2024-04-11,-1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,16.0,17.0,14.0,14.0,17.0,16.0,0.0,0.0,0.0,0.0,17.0,21.0,22.0,21.0,22.0,26.0,25.0,-1.0
2024-04-10,-1.0,1.0,-1.0,1.0,0.0,3.0,1.0,5.0,1.0,3.0,3.0,2.0,5.0,5.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-09,-1.0,-1.0,-1.0,1.0,1.0,7.0,46.0,51.0,11.0,10.0,60.0,60.0,9.0,9.0,65.0,66.0,61.0,61.0,0.0,0.0,61.0,61.0,60.0,62.0,64.0,64.0,-1.0,-1.0,74.0,77.0,88.0,-1.0
2024-04-08,-1.0,10.0,-1.0,13.0,11.0,10.0,34.0,36.0,28.0,29.0,32.0,32.0,28.0,27.0,32.0,33.0,38.0,38.0,0.0,0.0,37.0,37.0,35.0,35.0,41.0,41.0,46.0,46.0,45.0,46.0,47.0,-1.0
2024-04-07,-1.0,14.0,13.0,12.0,4.0,5.0,7.0,8.0,2.0,1.0,1.0,2.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,-1.0,-1.0,3.0,3.0,3.0,-1.0
2024-04-06,-1.0,-1.0,-1.0,9.0,4.0,5.0,12.0,13.0,11.0,21.0,28.0,30.0,33.0,32.0,52.0,54.0,51.0,50.0,0.0,0.0,51.0,52.0,60.0,54.0,55.0,55.0,-1.0,-1.0,52.0,39.0,31.0,-1.0
2024-04-05,-1.0,30.0,29.0,29.0,2.0,2.0,25.0,25.0,0.0,1.0,19.0,19.0,4.0,4.0,19.0,21.0,17.0,17.0,0.0,0.0,16.0,16.0,15.0,8.0,7.0,7.0,7.0,6.0,10.0,3.0,0.0,-1.0
2024-04-04,-1.0,0.0,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,12.0,14.0,12.0,11.0,0.0,0.0,10.0,10.0,9.0,4.0,3.0,5.0,0.0,0.0,3.0,0.0,1.0,-1.0
2024-04-03,-1.0,1.0,-1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,3.0,10.0,11.0,7.0,7.0,0.0,0.0,6.0,6.0,5.0,2.0,10.0,11.0,0.0,0.0,6.0,6.0,1.0,-1.0
