source,target,sumDelay,numTrains,numDelayedTrains
Hagen Hbf,Bochum Hbf,98.0,95,46
Dortmund Hbf,Münster (Westf) Hbf,2135.0,610,578
Münster (Westf) Hbf,Osnabrück Hbf,-10.0,776,671
Osnabrück Hbf,Diepholz,-68.0,94,41
Diepholz,Bremen Hbf,-28.0,84,21
Bremen Hbf,Hamburg-Harburg,304.0,650,540
Hamburg Hbf,Hamburg-Altona,134.0,412,325
Koblenz Hbf,Radolfzell,-110.0,39,29
Radolfzell,Köln Messe/Deutz,50.0,48,12
Andernach,Donaueschingen,-108.0,44,23
Donaueschingen,Villingen (Schwarzw),-3.0,49,5
Villingen (Schwarzw),Triberg,14.0,49,8
Triberg,Hausach,14.0,49,8
Hausach,Offenburg,74.0,49,14
Offenburg,Baden-Baden,141.0,161,37
Baden-Baden,Karlsruhe Hbf,8.0,73,15
Karlsruhe Hbf,Mannheim Hbf,3.0,209,72
Mannheim Hbf,Worms Hbf,-3.0,58,13
Worms Hbf,Mainz Hbf,-8.0,58,11
Bingen (Rhein) Hbf,Remagen,133.0,44,22
Remagen,Bonn-Beuel,-189.0,97,42
Bonn-Beuel,Bonn Hbf,434.0,201,141
Emden Hbf,Konstanz,0.0,0,0
Konstanz,Singen (Hohentwiel),3.0,49,8
Berlin Gesundbrunnen,Berlin Ostbahnhof,-424.0,171,68
Berlin Hbf,Berlin-Wannsee,217.0,66,51
Berlin-Wannsee,Potsdam Hbf,16.0,76,56
Potsdam Hbf,Brandenburg Hbf,102.0,77,58
Brandenburg Hbf,Magdeburg Hbf,86.0,77,71
Stuttgart Hbf,Bruchsal,-242.0,239,203
Dortmund Hbf,Witten Hbf,189.0,234,217
Witten Hbf,Altena (Westf),510.0,242,208
Altena (Westf),Werdohl,82.0,241,200
Werdohl,Plettenberg,81.0,242,201
Plettenberg,Finnentrop,62.0,242,205
Finnentrop,Lennestadt-Grevenbrück,-10.0,243,214
Lennestadt-Grevenbrück,Lennestadt-Altenhundem,-224.0,243,208
Lennestadt-Altenhundem,Kreuztal,115.0,236,195
Kreuztal,Siegen-Weidenau,168.0,234,204
Siegen-Weidenau,Dillenburg,349.0,167,158
Dillenburg,Wetzlar,114.0,172,160
Wetzlar,Bad Nauheim,280.0,221,187
Bad Nauheim,Frankfurt (Main) West,117.0,219,185
Frankfurt (Main) West,Frankfurt (Main) Hbf,-466.0,210,188
Berlin Ostbahnhof,Wolfsburg Hbf,-27.0,46,15
Wolfsburg Hbf,Berlin Hbf,17.0,29,7
Berlin-Spandau,Hannover Hbf,47.0,538,466
Hannover Hbf,Herford,215.0,147,115
Bielefeld Hbf,Wuppertal Hbf,-632.0,94,81
Wuppertal Hbf,Gütersloh Hbf,370.0,93,79
Dortmund Hbf,Bochum Hbf,-242.0,1303,1064
Bochum Hbf,Essen Hbf,163.0,1612,1169
Essen Hbf,Mülheim (Ruhr) Hbf,-8.0,146,93
Mülheim (Ruhr) Hbf,Duisburg Hbf,32.0,93,61
Düsseldorf Hbf,Solingen Hbf,-172.0,968,824
Köln Hbf,Aachen Hbf,-135.0,41,33
Stuttgart Hbf,Böblingen,142.0,110,53
Böblingen,Herrenberg,86.0,124,77
Herrenberg,Gäufelden,-102.0,130,68
Gäufelden,Bondorf (b Herrenberg),33.0,80,45
Bondorf (b Herrenberg),Horb,126.0,97,68
Horb,Berlin-Spandau,-99.0,51,35
Berlin-Spandau,Oberndorf (Neckar),78.0,48,16
Oberndorf (Neckar),Sulz (Neckar),42.0,148,74
Sulz (Neckar),Rottweil,50.0,51,38
Würzburg Hbf,Aschaffenburg Hbf,770.0,1023,854
Aschaffenburg Hbf,Frankfurt (Main) Hbf,2066.0,903,794
Frankfurt am Main Flughafen Fernbahnhof,Köln Hbf,-1727.0,215,214
Essen Hbf,Düsseldorf Hbf,494.0,85,41
Bremen Hbf,Osnabrück Hbf,-893.0,486,469
Osnabrück Hbf,Münster (Westf) Hbf,7.0,833,750
Münster (Westf) Hbf,Dortmund Hbf,1488.0,404,383
Wuppertal Hbf,Gelsenkirchen Hbf,-15.0,50,8
Gelsenkirchen Hbf,Bochum Hbf,2336.0,153,141
Essen Hbf,Duisburg Hbf,-140.0,2285,1726
Düsseldorf Hbf,Köln Messe/Deutz,-431.0,1130,961
Siegburg/Bonn,Frankfurt am Main Flughafen Fernbahnhof,3.0,387,367
Frankfurt am Main Flughafen Fernbahnhof,Mannheim Hbf,4311.0,981,966
Mannheim Hbf,Stuttgart Hbf,512.0,1353,1319
Frankfurt am Main Flughafen Fernbahnhof,Köln Messe/Deutz,-1032.0,353,346
Dresden-Neustadt,Berlin Südkreuz,55.0,57,56
Berlin Hbf,Berlin-Lichtenberg,-66.0,57,53
Berlin-Lichtenberg,Berlin Gesundbrunnen,-14.0,112,26
Berlin Gesundbrunnen,Berlin-Spandau,1580.0,320,146
Berlin-Spandau,Wittenberge,-1723.0,429,364
Wittenberge,Ludwigslust,-181.0,545,306
Ludwigslust,Büchen,-132.0,285,107
Büchen,Hamburg-Bergedorf,41.0,87,48
Hamburg-Bergedorf,Hamburg Hbf,27.0,81,57
München Hbf,München Ost,0.0,10,0
München Ost,Rosenheim,0.0,112,0
Karlsruhe Hbf,Bruchsal,33.0,339,173
Stuttgart Hbf,Esslingen (Neckar),-1550.0,208,198
Köln Messe/Deutz,Bonn Hbf,1392.0,201,184
Mainz Hbf,Mannheim Hbf,1134.0,426,296
Heidelberg Hbf,Vaihingen (Enz),655.0,174,133
Jena-Göschwitz,Jena West,-17.0,85,31
Jena West,Weimar,-1.0,93,54
Weimar,Erfurt Hbf,96.0,141,81
Erfurt Hbf,Gotha,-640.0,603,474
Gotha,Eisenach,-107.0,564,385
Eisenach,Kassel-Wilhelmshöhe,231.0,94,76
Kassel-Wilhelmshöhe,Warburg (Westf),53.0,55,52
Warburg (Westf),Altenbeken,130.0,55,54
Altenbeken,Paderborn Hbf,-10.0,55,53
Paderborn Hbf,Lippstadt,28.0,55,55
Lippstadt,Soest,26.0,55,52
Soest,Hamm (Westf) Hbf,97.0,55,55
Duisburg Hbf,Düsseldorf Flughafen,905.0,671,583
Düsseldorf Flughafen,Düsseldorf Hbf,-103.0,671,573
Stuttgart Hbf,Wiesloch-Walldorf,-11.0,87,71
Wiesloch-Walldorf,Heidelberg Hbf,55.0,257,107
Niebüll,Westerland (Sylt),1178.0,351,198
Mühlacker,Stuttgart Hbf,100.0,82,35
Bamberg,Lichtenfels,183.0,133,133
Lichtenfels,Kronach,-86.0,133,128
Kronach,Ludwigsstadt,-58.0,133,123
Ludwigsstadt,Saalfeld (Saale),-230.0,133,116
Saalfeld (Saale),Rudolstadt (Thür),-148.0,133,97
Rudolstadt (Thür),Jena-Göschwitz,-4.0,133,104
Jena-Göschwitz,Jena Paradies,26.0,165,114
Jena Paradies,Naumburg (Saale) Hbf,15.0,178,110
Naumburg (Saale) Hbf,Weißenfels,12.0,181,104
Weißenfels,Leipzig Hbf,88.0,182,117
Mannheim Hbf,Frankfurt (Main) Hbf,2514.0,446,436
Frankfurt (Main) Hbf,Kassel-Wilhelmshöhe,-1837.0,391,387
Berlin-Spandau,Fulda,259.0,55,34
Fulda,Berlin Ostbahnhof,-286.0,55,42
Berlin Ostbahnhof,Erfurt Hbf,822.0,100,76
Berlin Hbf,Hamburg Hbf,-318.0,100,92
Köln Hbf,Berlin-Spandau,813.0,155,141
Vaihingen (Enz),Wiesloch-Walldorf,-31.0,69,20
Mainz Hbf,Wiesbaden Hbf,773.0,237,152
Dresden-Neustadt,Elsterwerda,10.0,407,241
Elsterwerda,Doberlug-Kirchhain,-96.0,268,165
Doberlug-Kirchhain,Berlin Südkreuz,936.0,303,257
Berlin Gesundbrunnen,Oranienburg,382.0,279,225
Oranienburg,Neustrelitz Hbf,-509.0,281,217
Neustrelitz Hbf,Waren (Müritz),-70.0,279,183
Waren (Müritz),Schwerin Hbf,-704.0,181,128
Schwerin Hbf,Rostock Hbf,1246.0,245,129
Rostock Hbf,Warnemünde,-289.0,294,191
Donauwörth,Nürnberg Hbf,164.0,209,178
Nürnberg Hbf,Bamberg,570.0,386,355
Bamberg,Erfurt Hbf,-753.0,513,469
Halle (Saale) Hbf,Bitterfeld,142.0,439,370
