source,target,maxDelay,minDelay,stdDev,connections,pureDelay,punctuality,avgDelay
Bondorf (b Herrenberg),Gäufelden,2.0,-16.0,5.41789,3.0,-2.8125,0.54802,-1.27119
Gäufelden,Herrenberg,16.0,-3.0,5.54313,3.0,1.50588,0.51977,0.72316
Herrenberg,Böblingen,13.0,-17.0,4.63386,3.0,-0.35294,0.51977,-0.16949
Böblingen,Stuttgart Hbf,13.0,-3.0,4.49462,3.0,1.70588,0.51977,0.81921
Hannover Hbf,Hamburg-Harburg,68.0,-95.0,44.49957,15.0,-5.10316,0.41789,-2.97059
Ostseebad Binz,Bergen auf Rügen,37.0,-5.0,7.61477,10.0,0.36154,0.75746,0.08769
Bergen auf Rügen,Stralsund Hbf,19.0,-37.0,8.65772,10.0,0.42384,0.72192,0.11786
Stralsund Hbf,Greifswald,60.0,-3.0,8.09286,8.0,0.26446,0.71596,0.07512
Greifswald,Ribnitz-Damgarten West,99.0,-138.0,30.07075,4.0,-4.76613,0.48333,-2.4625
Ribnitz-Damgarten West,Züssow,59.0,-13.0,8.02001,2.0,4.3125,0.86667,0.575
Züssow,Anklam,24.0,-6.0,3.87596,8.0,-0.52525,0.76259,-0.1247
Anklam,Pasewalk,17.0,-5.0,6.03762,7.0,2.28834,0.54342,1.04482
Pasewalk,Neustrelitz Hbf,19.0,-15.0,4.1632,1.0,-3.35593,0.01667,-3.3
Neustrelitz Hbf,Prenzlau,141.0,-19.0,25.54833,2.0,9.71818,0.08333,8.90833
Prenzlau,Angermünde,4.0,-2.0,1.94163,7.0,-0.85271,0.63866,-0.30812
Angermünde,Eberswalde Hbf,3.0,-2.0,2.09931,6.0,-1.125,0.33775,-0.74503
Eberswalde Hbf,Berlin Gesundbrunnen,120.0,-7.0,16.32225,6.0,1.1634,0.48658,0.59732
Berlin Gesundbrunnen,Berlin Hbf,135.0,-58.0,38.46572,29.0,2.44203,0.45776,1.32417
