source,target,maxDelay,minDelay,stdDev,connections,pureDelay,punctuality,avgDelay
Dresden-Neustadt,Riesa,26.0,-12.0,10.70617,11.0,1.68458,0.32598,1.13543
Riesa,Leipzig Hbf,21.0,-13.0,10.37854,13.0,-2.51892,0.2649,-1.85166
Eisenach,Bad Hersfeld,69.0,-5.0,12.24774,9.0,0.24576,0.52894,0.11577
Bad Hersfeld,Fulda,81.0,-10.0,22.41232,10.0,3.2623,0.43934,1.82904
Berlin Hbf,Schwerin Hbf,50.0,-49.0,14.19448,2.0,-6.52174,0.01709,-6.41026
Schwerin Hbf,Berlin Gesundbrunnen,48.0,-17.0,11.92975,2.0,6.65169,0.23932,5.05983
Leipzig Hbf,Bitterfeld,121.0,-9.0,26.62399,4.0,6.97207,0.2479,5.2437
Frankfurt am Main Flughafen Fernbahnhof,Siegburg/Bonn,206.0,-74.0,45.99238,11.0,-3.19932,0.07064,-2.97331
Lüneburg,Göttingen,0.0,-11.0,2.75283,1.0,-7.0,0.87805,-0.85366
Frankfurt (Main) Hbf,Uelzen,17.0,0.0,3.27872,1.0,8.2,0.87805,1.0
Berlin-Spandau,Ludwigslust,11.0,-153.0,30.30208,6.0,-5.47577,0.3142,-3.75529
Mainz Hbf,Bonn Hbf,35.0,-45.0,10.31586,1.0,-3.66667,0.1,-3.3
Bonn-Beuel,Köln Hbf,66.0,-30.0,17.58051,2.0,9.74038,0.13333,8.44167
Itzehoe,Hamburg-Altona,15.0,-11.0,5.90238,1.0,0.875,0.46667,0.46667
Heidelberg Hbf,Stuttgart Hbf,101.0,-41.0,49.64728,14.0,2.94541,0.31845,2.00744
Berlin Gesundbrunnen,Bernau (b Berlin),114.0,-24.0,15.27586,3.0,2.36735,0.18333,1.93333
Bernau (b Berlin),Eberswalde Hbf,4.0,-4.0,2.52209,4.0,-1.91045,0.15546,-1.61345
Eberswalde Hbf,Neustrelitz Hbf,13.0,-12.0,3.42457,1.0,-2.31373,0.15,-1.96667
Neustrelitz Hbf,Angermünde,23.0,-12.0,4.88023,2.0,2.9,0.41667,1.69167
Pasewalk,Ribnitz-Damgarten West,3.0,-7.0,1.71698,1.0,-1.78261,0.23333,-1.36667
Ribnitz-Damgarten West,Anklam,12.0,-3.0,2.42841,1.0,2.45,0.33333,1.63333
Stralsund Hbf,Ribnitz-Damgarten West,5.0,-26.0,5.1556,2.0,-2.58491,0.52252,-1.23423
Ribnitz-Damgarten West,Neustrelitz Hbf,0.0,-4.0,0.56012,1.0,-4.0,0.98039,-0.07843
Neustrelitz Hbf,Greifswald,26.0,0.0,4.74486,1.0,5.93333,0.70588,1.7451
Greifswald,Züssow,6.0,-3.0,1.74724,6.0,-0.53571,0.81145,-0.10101
Pasewalk,Prenzlau,9.0,-31.0,4.75137,7.0,-0.0625,0.73109,-0.01681
Oldenburg (Oldb) Hbf,Delmenhorst,14.0,-26.0,4.97291,3.0,-0.38889,0.56627,-0.16867
Hamburg-Altona,Berlin Ostbahnhof,0.0,0.0,0.0,1.0,,1.0,0.0
Berlin-Spandau,Berlin Ostbahnhof,161.0,-93.0,28.23475,1.0,-0.06522,0.23333,-0.05
Hamburg Hbf,Uelzen,27.0,-16.0,5.21184,2.0,0.63492,0.475,0.33333
Uelzen,Hamburg-Harburg,18.0,-27.0,5.01126,1.0,-1.97561,0.31667,-1.35
Hamburg-Harburg,Celle,18.0,-18.0,5.0136,2.0,-1.65217,0.61667,-0.63333
Celle,Lüneburg,105.0,-15.0,14.09688,1.0,5.28571,0.3,3.7
Stuttgart Hbf,Berlin-Spandau,0.0,0.0,0.0,1.0,,1.0,0.0
Marienhafe,Emden Hbf,15.0,-2.0,3.27592,4.0,1.13333,0.5,0.56667
Siegburg/Bonn,Wuppertal Hbf,16.0,-206.0,27.05325,1.0,-20.75,0.86441,-2.81356
Hagen Hbf,Limburg Süd,209.0,-10.0,28.2675,1.0,29.375,0.86441,3.98305
Montabaur,Köln Messe/Deutz,140.0,-1.0,40.80626,3.0,21.16892,0.10303,18.98788
Frankfurt (Main) Hbf,Aschaffenburg Hbf,117.0,-58.0,30.71779,13.0,3.34142,0.20155,2.66796
Frankfurt (Main) Hbf,Berlin Südkreuz,0.0,0.0,0.0,1.0,,1.0,0.0
Mainz Hbf,Koblenz Hbf,77.0,-8.0,24.46719,9.0,1.38889,0.29485,0.97938
Bonn-Beuel,Köln Messe/Deutz,49.0,-9.0,9.50793,4.0,6.88889,0.84831,1.04494
Köln Messe/Deutz,Bonn Hbf,93.0,-128.0,40.09711,6.0,7.88673,0.14167,6.76944
Horb,Sulz (Neckar),6.0,-16.0,2.94177,2.0,0.02703,0.65094,0.00943
Sulz (Neckar),Oberndorf (Neckar),18.0,-17.0,4.46835,3.0,-0.33333,0.65,-0.11667
Oberndorf (Neckar),Hamburg Hbf,0.0,-74.0,14.49528,1.0,-12.52174,0.57407,-5.33333
Hamburg Hbf,Rottweil,74.0,-5.0,14.16945,1.0,8.97619,0.22222,6.98148
Rottweil,Hamburg-Harburg,0.0,-73.0,10.60037,1.0,-11.4,0.72222,-3.16667
Hamburg-Harburg,Spaichingen,73.0,-14.0,10.50475,1.0,10.27273,0.7963,2.09259
Spaichingen,Lüneburg,16.0,-74.0,11.05289,1.0,-6.66667,0.72222,-1.85185
Lüneburg,Tuttlingen,75.0,-16.0,11.19875,1.0,6.52941,0.68519,2.05556
Tuttlingen,Engen,2.0,-4.0,1.32847,3.0,0.18182,0.725,0.05
Engen,Uelzen,17.0,-75.0,11.25924,1.0,-5.8125,0.7037,-1.72222
Uelzen,Singen (Hohentwiel),71.0,-12.0,10.26933,1.0,4.94118,0.68519,1.55556
Radolfzell,Celle,25.0,-71.0,10.96435,1.0,-3.21429,0.74074,-0.83333
Celle,Konstanz,71.0,-25.0,11.17451,1.0,4.27273,0.7963,0.87037
Konstanz,Hannover Hbf,23.0,0.0,3.6588,1.0,7.875,0.85185,1.16667
Hannover Hbf,Kassel-Wilhelmshöhe,0.0,-6.0,0.8165,1.0,-6.0,0.98148,-0.11111
Kassel-Wilhelmshöhe,Nürnberg Hbf,57.0,0.0,11.95268,1.0,31.14286,0.87037,4.03704
Hamm (Westf) Hbf,Hagen Hbf,140.0,-12.0,28.26267,7.0,6.60182,0.12267,5.792
Hagen Hbf,Düsseldorf Hbf,79.0,-208.0,45.88034,5.0,-4.07627,0.2107,-3.21739
Bamberg,Ingolstadt Hbf,276.0,-53.0,43.39041,1.0,71.2,0.89362,7.57447
Bremerhaven-Lehe,Bremerhaven Hbf,1.0,-2.0,0.58488,1.0,-0.88462,0.56667,-0.38333
Bremerhaven Hbf,Osterholz-Scharmbeck,6.0,-3.0,1.52743,1.0,0.24324,0.38333,0.15
Osterholz-Scharmbeck,Bremen Hbf,12.0,-19.0,3.57234,1.0,0.18605,0.28333,0.13333
Recklinghausen Hbf,Gelsenkirchen Hbf,31.0,-45.0,13.79719,4.0,-0.31847,0.3431,-0.20921
Hannover Hbf,Osnabrück Hbf,80.0,-6.0,15.32373,2.0,7.93519,0.1,7.14167
Köln Hbf,Düren,8.0,-119.0,20.69326,3.0,-9.28571,0.41667,-5.41667
Düren,Aachen Hbf,106.0,-6.0,16.96025,3.0,3.4058,0.52083,1.63194
Hude,Minden (Westf),2.0,-30.0,8.56701,1.0,-7.4,0.23077,-5.69231
Minden (Westf),Delmenhorst,81.0,-2.0,13.49068,1.0,9.2,0.13462,7.96154
Bremen Hbf,Wolfsburg Hbf,17.0,-92.0,14.91114,1.0,-8.67568,0.28846,-6.17308
Berlin-Spandau,Verden (Aller),98.0,-11.0,19.8884,1.0,14.975,0.23077,11.51923
Magdeburg Hbf,Brandenburg Hbf,51.0,-43.0,9.6635,2.0,0.49153,0.47321,0.25893
Potsdam Hbf,Berlin-Wannsee,6.0,-3.0,1.95914,1.0,1.21875,0.38462,0.75
Berlin-Wannsee,Berlin Hbf,51.0,-38.0,10.57865,2.0,-0.8806,0.40179,-0.52679
Berlin Ostbahnhof,Berlin Gesundbrunnen,84.0,-65.0,23.58803,5.0,2.63354,0.44291,1.46713
Berlin Gesundbrunnen,Königs Wusterhausen,59.0,-9.0,12.1849,1.0,8.24324,0.28846,5.86538
Königs Wusterhausen,Lübben (Spreewald),13.0,-3.0,2.83821,1.0,1.96429,0.46154,1.05769
Lübben (Spreewald),Lübbenau (Spreewald),3.0,-2.0,1.01868,1.0,-0.92308,0.5,-0.46154
Lübbenau (Spreewald),Cottbus Hbf,7.0,-2.0,1.85799,1.0,1.13793,0.44231,0.63462
Erfurt Hbf,Eisenach,7.0,-70.0,16.56049,3.0,-10.18421,0.50968,-4.99355
Eisenach,Fulda,136.0,-4.0,25.96352,3.0,13.76623,0.50323,6.83871
Fulda,Mannheim Hbf,14.0,-166.0,27.32506,2.0,-12.75,0.4359,-7.19231
Darmstadt Hbf,Heidelberg Hbf,141.0,-25.0,27.75732,3.0,7.40299,0.51449,3.5942
Hildesheim Hbf,Hannover Hbf,16.0,-72.0,13.27928,1.0,-9.37778,0.13462,-8.11538
Magdeburg Hbf,Stendal Hbf,25.0,-5.0,4.82097,1.0,3.52,0.32432,2.37838
Stendal Hbf,Wittenberge,6.0,-4.0,2.8652,2.0,-0.38889,0.4375,-0.21875
Angermünde,Berlin Gesundbrunnen,0.0,0.0,0.0,1.0,,1.0,0.0
Halle (Saale) Hbf,Kassel-Wilhelmshöhe,130.0,-64.0,19.23036,1.0,2.25,0.86667,0.3
Eisenach,Mainz Hbf,13.0,-61.0,14.31522,1.0,-10.58182,0.08333,-9.7
Mainz Hbf,Fulda,144.0,-16.0,22.53374,1.0,13.53191,0.21667,10.6
Fulda,Hanau Hbf,100.0,-91.0,32.71134,3.0,0.21127,0.47794,0.11029
Hanau Hbf,Frankfurt (Main) Hbf,120.0,-80.0,29.15608,8.0,0.03595,0.2933,0.0254
Köln Messe/Deutz,Frankfurt am Main Flughafen Fernbahnhof,111.0,-7.0,35.9226,11.0,0.91051,0.18671,0.74051
Passau Hbf,Plattling,15.0,-3.0,2.17666,2.0,-0.26316,0.68333,-0.08333
Plattling,Straubing,2.0,-2.0,0.73454,2.0,-0.56,0.79167,-0.11667
Straubing,Regensburg Hbf,31.0,-3.0,5.87992,2.0,2.20896,0.44167,1.23333
Regensburg Hbf,Nürnberg Hbf,12.0,-5.0,4.21897,2.0,1.05479,0.39167,0.64167
Würzburg Hbf,Hanau Hbf,82.0,-20.0,14.10642,3.0,3.17188,0.28889,2.25556
Rostock Hbf,Schwerin Hbf,7.0,-21.0,3.92278,4.0,-1.69565,0.51883,-0.8159
Schwerin Hbf,Waren (Müritz),18.0,-8.0,4.64226,4.0,1.83721,0.64017,0.66109
Waren (Müritz),Neustrelitz Hbf,7.0,-18.0,3.37385,5.0,-0.33621,0.61074,-0.13087
Neustrelitz Hbf,Oranienburg,47.0,-5.0,7.92088,5.0,-0.31034,0.51342,-0.15101
Oranienburg,Berlin Gesundbrunnen,48.0,-4.0,9.03432,5.0,2.15909,0.55705,0.95638
Berlin Südkreuz,Doberlug-Kirchhain,90.0,-6.0,16.61164,5.0,3.90873,0.15436,3.30537
Doberlug-Kirchhain,Elsterwerda,11.0,-3.0,3.4977,5.0,-0.50698,0.27852,-0.36577
Elsterwerda,Dresden-Neustadt,56.0,-11.0,12.42156,7.0,3.0073,0.27513,2.17989
Göttingen,Hamburg Hbf,0.0,-10.0,1.59943,1.0,-4.0,0.88333,-0.46667
Hamburg Hbf,Hildesheim Hbf,10.0,0.0,1.59758,1.0,4.16667,0.9,0.41667
Würzburg Hbf,Ansbach,7.0,-13.0,2.71484,1.0,0.06522,0.23333,0.05
Ansbach,Treuchtlingen,19.0,-2.0,3.22963,1.0,0.13333,0.25,0.1
Treuchtlingen,Donauwörth,10.0,-5.0,2.91983,1.0,-1.57895,0.05,-1.5
Augsburg Hbf,Buchloe,6.0,-95.0,12.43078,1.0,-3.30435,0.23333,-2.53333
Buchloe,Kaufbeuren,83.0,-3.0,10.93101,1.0,0.08163,0.18333,0.06667
Kaufbeuren,Kempten (Allgäu) Hbf,0.0,-83.0,10.56905,1.0,-4.01961,0.15,-3.41667
Kempten (Allgäu) Hbf,Immenstadt,72.0,-4.0,9.72956,2.0,0.4557,0.34167,0.3
Immenstadt,Sonthofen,12.0,-73.0,10.13768,2.0,-0.42169,0.30833,-0.29167
Sonthofen,Fischen,12.0,-2.0,3.19206,2.0,3.02913,0.14167,2.6
Fischen,Oberstdorf,7.0,-3.0,2.17523,2.0,-0.74359,0.35,-0.48333
Hamburg Hbf,Berlin Hbf,0.0,-8.0,2.62342,1.0,-3.14286,0.17647,-2.58824
München Hbf,Rosenheim,0.0,0.0,0.0,1.0,,1.0,0.0
Ulm Hbf,Karlsruhe Hbf,0.0,0.0,0.0,1.0,,1.0,0.0
Düsseldorf Hbf,Oberhausen Hbf,28.0,-15.0,5.6432,2.0,0.15385,0.67227,0.05042
Oberhausen Hbf,Düsseldorf Flughafen,0.0,0.0,0.0,1.0,,1.0,0.0
Düsseldorf Flughafen,Solingen Hbf,13.0,0.0,3.03583,1.0,4.18182,0.62712,1.55932
Solingen Hbf,Duisburg Hbf,62.0,-19.0,17.68502,2.0,8.70423,0.40336,5.19328
Wuppertal Hbf,Essen Hbf,62.0,-65.0,17.01304,3.0,-4.54198,0.26816,-3.32402
Kiel Hbf,Neumünster,28.0,-2.0,4.6362,4.0,0.91525,0.75417,0.225
Neumünster,Hamburg Hbf,45.0,-18.0,8.86552,1.0,7.5,0.3,5.25
Köln Hbf,Limburg Süd,20.0,-98.0,24.67505,2.0,-19.32174,0.04167,-18.51667
Hamburg-Altona,Itzehoe,99.0,-5.0,25.42995,2.0,19.2069,0.275,13.925
Wolfsburg Hbf,Eisenach,69.0,-32.0,13.76767,2.0,3.94118,0.85833,0.55833
Eisenach,Braunschweig Hbf,19.0,-20.0,4.21002,1.0,5.33333,0.95,0.26667
Braunschweig Hbf,Esslingen (Neckar),9.0,-20.0,3.66149,1.0,-9.66667,0.95,-0.48333
Esslingen (Neckar),Hildesheim Hbf,21.0,-14.0,4.21173,1.0,5.83333,0.9,0.58333
Koblenz Hbf,Bonn Hbf,36.0,-134.0,26.79553,4.0,-2.22826,0.49727,-1.12022
Limburg Süd,Wuppertal Hbf,63.0,-21.0,9.99615,2.0,11.54545,0.90517,1.09483
Hamburg-Altona,Hamburg Hbf,39.0,-12.0,11.88762,7.0,3.32569,0.47722,1.73861
Nürnberg Hbf,Frankfurt am Main Flughafen Fernbahnhof,121.0,-35.0,22.59607,2.0,9.37349,0.08791,8.54945
Limburg Süd,Berlin Gesundbrunnen,0.0,-44.0,9.17651,1.0,-37.33333,0.93878,-2.28571
Lutherstadt Wittenberg Hauptbahnhof,Bitterfeld,129.0,-3.0,21.83096,2.0,7.43182,0.59633,3.0
Bitterfeld,Halle (Saale) Hbf,8.0,-15.0,4.87899,6.0,-0.97817,0.34006,-0.64553
Leipzig Hbf,Weimar,0.0,0.0,0.0,1.0,,1.0,0.0
Bad Hersfeld,Hünfeld,0.0,0.0,0.0,1.0,,1.0,0.0
Hünfeld,Fulda,0.0,0.0,0.0,1.0,,1.0,0.0
Frankfurt (Main) Hbf,Montabaur,43.0,0.0,8.9379,1.0,36.33333,0.93878,2.22449
Aachen Hbf,Herzogenrath,8.0,-4.0,2.28714,2.0,0.73913,0.41525,0.4322
Geilenkirchen,Erkelenz,20.0,-12.0,3.46969,2.0,-0.12,0.57627,-0.05085
Erkelenz,Rheydt Hbf,21.0,-2.0,3.29153,2.0,1.88636,0.62712,0.70339
Rheydt Hbf,Mönchengladbach Hbf,7.0,-1.0,1.72436,2.0,1.17647,0.5678,0.50847
Mönchengladbach Hbf,Viersen,34.0,-9.0,6.77707,2.0,2.70588,0.5678,1.16949
Viersen,Krefeld Hbf,12.0,-1.0,1.92784,2.0,1.625,0.59322,0.66102
Krefeld Hbf,Duisburg Hbf,22.0,-3.0,4.63136,2.0,1.49333,0.36441,0.94915
Herford,Hannover Hbf,80.0,-7.0,13.61281,3.0,0.85517,0.18539,0.69663
Celle,Stralsund Hbf,0.0,-63.0,9.336,1.0,-27.0,0.93617,-1.7234
Bützow,Hannover Hbf,61.0,0.0,9.05804,1.0,19.75,0.91489,1.68085
Bremen Hbf,Hannover Hbf,23.0,-3.0,12.27076,2.0,5.90909,0.52174,2.82609
Magdeburg Hbf,Dessau Hbf,5.0,0.0,1.46299,1.0,2.28571,0.63158,0.84211
Dessau Hbf,Bitterfeld,7.0,-2.0,1.9026,1.0,0.44444,0.52632,0.21053
Riesa,Elsterwerda,16.0,-46.0,17.16395,3.0,-3.51546,0.30216,-2.45324
Bad Kleinen,Ludwigslust,3.0,-4.0,1.15025,1.0,-1.06667,0.625,-0.4
Aschaffenburg Hbf,Hanau Hbf,80.0,-17.0,11.13628,1.0,2.81395,0.28333,2.01667
Wuppertal Hbf,Köln Süd,36.0,-103.0,22.38748,1.0,-15.31579,0.0339,-14.79661
Köln Süd,Bonn Hbf,57.0,0.0,13.71549,1.0,20.22727,0.62712,7.54237
Koblenz Hbf,Köln Hbf,116.0,0.0,24.30417,1.0,22.56,0.15254,19.11864
Köln Messe/Deutz,Montabaur,40.0,-180.0,30.8083,3.0,-4.10169,0.67222,-1.34444
Frankfurt (Main) Hbf,Frankfurt (Main) West,5.0,-3.0,2.06762,8.0,0.1405,0.69825,0.04239
Frankfurt (Main) West,Friedberg (Hess),10.0,-32.0,7.8277,5.0,-2.71845,0.55411,-1.21212
Schwerin Hbf,Bad Kleinen,3.0,-7.0,1.84257,3.0,-1.03448,0.6375,-0.375
Bad Kleinen,Ribnitz-Damgarten West,0.0,-85.0,17.99854,1.0,-12.2,0.5122,-5.95122
Stralsund Hbf,Bützow,83.0,0.0,17.46586,1.0,18.83333,0.70732,5.5122
Augustfehn,Osnabrück Hbf,10.0,-60.0,10.16619,1.0,-7.18182,0.26667,-5.26667
Osnabrück Hbf,Leer (Ostfriesl),122.0,0.0,18.13555,1.0,9.80435,0.23333,7.51667
Friedberg (Hess),Bad Nauheim,55.0,0.0,10.66329,3.0,5.43333,0.49153,2.76271
Bad Nauheim,Wetzlar,56.0,-45.0,12.59172,8.0,1.64629,0.50217,0.81957
Wetzlar,Dillenburg,211.0,-9.0,35.93652,8.0,1.27798,0.39783,0.76957
Dillenburg,Siegen-Weidenau,36.0,-16.0,10.58876,5.0,2.57619,0.28814,1.8339
Siegen-Weidenau,Kreuztal,5.0,-3.0,2.33383,5.0,-1.34158,0.31525,-0.91864
Kreuztal,Lennestadt-Altenhundem,19.0,-140.0,18.46062,5.0,-1.26718,0.55593,-0.56271
Lennestadt-Altenhundem,Lennestadt-Grevenbrück,9.0,-3.0,2.88048,5.0,0.9901,0.65763,0.33898
Lennestadt-Grevenbrück,Finnentrop,5.0,-2.0,2.35611,5.0,1.73362,0.22373,1.34576
Finnentrop,Plettenberg,13.0,-13.0,3.98107,5.0,0.72277,0.65763,0.24746
Plettenberg,Werdohl,14.0,-4.0,3.70602,5.0,0.4878,0.72203,0.13559
Werdohl,Altena (Westf),5.0,-7.0,1.99535,5.0,-0.10227,0.70169,-0.03051
Altena (Westf),Witten Hbf,80.0,-33.0,12.80323,4.0,1.55479,0.37872,0.96596
Witten Hbf,Dortmund Hbf,54.0,-31.0,11.24681,5.0,2.72678,0.37966,1.69153
Erlangen,Erfurt Hbf,140.0,-7.0,37.40108,4.0,4.57778,0.5,2.28889
Angermünde,Neustrelitz Hbf,6.0,-144.0,25.82326,1.0,-17.23636,0.08333,-15.8
Ribnitz-Damgarten West,Stralsund Hbf,139.0,-3.0,25.27129,1.0,14.88679,0.11667,13.15
Karlsruhe-Durlach,Karlsruhe Hbf,52.0,-5.0,8.23534,4.0,1.11765,0.70044,0.3348
Erfurt Hbf,Erlangen,45.0,-8.0,11.70617,4.0,0.58065,0.27907,0.4186
Vaihingen (Enz),Heidelberg Hbf,28.0,-70.0,14.70424,6.0,-0.15823,0.4417,-0.08834
Köln Messe/Deutz,Darmstadt Hbf,9.0,-66.0,12.4553,1.0,-14.26087,0.61667,-5.46667
Darmstadt Hbf,Köln Hbf,72.0,-34.0,15.63817,1.0,13.95833,0.6,5.58333
Frankfurt am Main Flughafen Fernbahnhof,Bonn Hbf,38.0,-51.0,12.93578,1.0,11.08333,0.6,4.43333
Mainz Hbf,Frankfurt (Main) Hbf,90.0,-18.0,21.89484,1.0,22.34211,0.36667,14.15
Kassel-Wilhelmshöhe,Treysa,14.0,-15.0,5.04889,1.0,0.9,0.54545,0.40909
Kiel Hbf,Fulda,31.0,0.0,4.14255,1.0,31.0,0.98214,0.55357
Fulda,Hamburg-Harburg,54.0,-32.0,9.0088,1.0,4.5,0.57143,1.92857
Celle,Neumünster,0.0,-45.0,8.07672,1.0,-5.80769,0.53571,-2.69643
Neumünster,Hannover-Messe / Laatzen,0.0,0.0,0.0,1.0,,1.0,0.0
Hannover-Messe / Laatzen,Hamburg Dammtor,6.0,-1.0,0.81524,1.0,2.5,0.96429,0.08929
Hamburg Hbf,Hannover Hbf,35.0,-15.0,6.2613,1.0,-0.88372,0.23214,-0.67857
Kassel-Wilhelmshöhe,Frankfurt (Main) Hbf,225.0,-45.0,39.70292,3.0,6.81884,0.2069,5.40805
Bensheim,Esslingen (Neckar),0.0,0.0,0.0,1.0,,1.0,0.0
Esslingen (Neckar),Heidelberg Hbf,21.0,0.0,5.54639,2.0,6.85417,0.6,2.74167
Ulm Hbf,Biberach (Riß),0.0,0.0,0.0,1.0,,1.0,0.0
Biberach (Riß),Aulendorf,0.0,0.0,0.0,1.0,,1.0,0.0
Aulendorf,Ravensburg,0.0,0.0,0.0,1.0,,1.0,0.0
Ravensburg,Friedrichshafen Stadt,0.0,0.0,0.0,1.0,,1.0,0.0
Berlin Hbf,Leipzig Hbf,17.0,-64.0,14.79287,2.0,-5.44737,0.05,-5.175
München Hbf,Berlin Ostbahnhof,0.0,0.0,0.0,1.0,,1.0,0.0
Berlin Ostbahnhof,Göttingen,26.0,0.0,5.30723,2.0,26.0,0.9881,0.30952
Köln Messe/Deutz,Köln/Bonn Flughafen,13.0,-1.0,3.27974,3.0,2.21429,0.4269,1.26901
Bruchsal,Vaihingen (Enz),2.0,-3.0,0.9267,1.0,-0.6087,0.54,-0.28
Vaihingen (Enz),Esslingen (Neckar),14.0,-3.0,2.25479,1.0,-0.57143,0.58,-0.24
Ulm Hbf,Günzburg,94.0,-186.0,28.04914,6.0,-1.36406,0.38,-0.84571
Günzburg,Augsburg Hbf,112.0,-20.0,21.24326,7.0,1.25957,0.41542,0.73632
Leipzig Hbf,Weißenfels,27.0,-5.0,6.99637,5.0,0.53846,0.47826,0.28094
Weißenfels,Naumburg (Saale) Hbf,48.0,-2.0,6.6413,5.0,-0.10909,0.63211,-0.04013
Naumburg (Saale) Hbf,Jena Paradies,25.0,-14.0,7.57935,6.0,0.45062,0.5,0.22531
Jena Paradies,Jena-Göschwitz,4.0,-152.0,30.70878,6.0,-1.71034,0.55247,-0.76543
Jena-Göschwitz,Rudolstadt (Thür),6.0,-2.0,3.10932,5.0,0.60606,0.44816,0.33445
Rudolstadt (Thür),Saalfeld (Saale),4.0,-3.0,2.40572,5.0,-1.24519,0.30435,-0.86622
Saalfeld (Saale),Ludwigsstadt,3.0,-3.0,2.05235,5.0,-1.19394,0.44816,-0.65886
Ludwigsstadt,Kronach,6.0,-37.0,5.20426,5.0,-0.52985,0.55184,-0.23746
Kronach,Lichtenfels,6.0,-2.0,2.37503,5.0,-0.09848,0.55853,-0.04348
Lichtenfels,Bamberg,19.0,-3.0,4.82771,5.0,1.62381,0.29766,1.14047
Nürnberg Hbf,Ansbach,23.0,-17.0,7.34712,7.0,-0.46535,0.27685,-0.33652
Ansbach,Crailsheim,25.0,-6.0,7.43485,7.0,0.17514,0.15513,0.14797
Schwäbisch Gmünd,Schorndorf,12.0,-4.0,3.53838,2.0,-1.13861,0.15126,-0.96639
Schorndorf,Stuttgart Hbf,39.0,-9.0,7.88255,2.0,3.89423,0.12605,3.40336
Pforzheim Hbf,Karlsruhe Hbf,76.0,-3.0,23.99381,6.0,6.53991,0.40833,3.86944
Wanne-Eickel Hbf,Dortmund Hbf,29.0,-27.0,7.59065,1.0,-5.2069,0.44231,-2.90385
Frankfurt (Main) Hbf,Halle (Saale) Hbf,8.0,-34.0,6.70457,1.0,-6.54386,0.01724,-6.43103
Halle (Saale) Hbf,Hanau Hbf,35.0,0.0,7.61768,1.0,10.07407,0.06897,9.37931
Fulda,Eisenach,67.0,-17.0,13.54027,3.0,1.73267,0.37654,1.08025
Eisenach,Erfurt Hbf,150.0,-39.0,34.44078,5.0,8.60127,0.43972,4.81915
Essen Hbf,Hamburg-Harburg,38.0,-53.0,12.46985,1.0,-12.5,0.26667,-9.16667
Hamburg-Harburg,Münster (Westf) Hbf,18.0,-52.0,7.14111,1.0,-17.0,0.96667,-0.56667
Münster (Westf) Hbf,Solingen Hbf,52.0,-19.0,8.24272,1.0,14.57143,0.88333,1.7
Solingen Hbf,Hamburg Hbf,92.0,-9.0,24.25962,2.0,14.2268,0.14912,12.10526
Duisburg Hbf,Köln Messe/Deutz,51.0,-10.0,8.8819,1.0,8.84211,0.05,8.4
München Hbf,Düsseldorf Hbf,25.0,0.0,5.20916,1.0,7.19565,0.23333,5.51667
Berlin-Spandau,Eisenach,59.0,-10.0,8.10722,1.0,13.66667,0.94643,0.73214
Eisenach,Berlin Ostbahnhof,14.0,-59.0,8.20483,1.0,-9.25,0.92857,-0.66071
Berlin Ostbahnhof,Erfurt Hbf,66.0,0.0,13.42512,1.0,12.57143,0.375,7.85714
Berlin Gesundbrunnen,Berlin-Lichtenberg,5.0,-19.0,3.4716,2.0,-1.24138,0.75833,-0.3
Berlin-Lichtenberg,Dresden-Neustadt,88.0,-2.0,14.358,1.0,9.275,0.33333,6.18333
Dortmund Hbf,Gelsenkirchen Hbf,14.0,-160.0,37.92896,2.0,-17.35652,0.04167,-16.63333
Darmstadt Hbf,Frankfurt am Main Flughafen Fernbahnhof,13.0,-2.0,2.22125,1.0,3.25,0.72881,0.88136
Solingen Hbf,Oberhausen Hbf,20.0,-4.0,3.81181,2.0,4.7,0.91597,0.39496
Oberhausen Hbf,Wuppertal Hbf,3.0,-21.0,3.55869,2.0,-3.42105,0.84034,-0.54622
Essen Hbf,Unna,11.0,-29.0,7.80022,1.0,-5.28125,0.45763,-2.86441
Unna,Bochum Hbf,29.0,-11.0,8.03445,1.0,5.40541,0.37288,3.38983
Berlin Südkreuz,Leipzig Hbf,9.0,-71.0,17.11598,4.0,-6.38095,0.18841,-5.17874
Frankfurt (Main) West,Bad Nauheim,37.0,-4.0,5.87665,3.0,0.79167,0.43529,0.44706
Dillenburg,Lennestadt-Altenhundem,53.0,-276.0,38.73089,2.0,-0.18519,0.26364,-0.13636
Lennestadt-Altenhundem,Schwerte (Ruhr),65.0,-57.0,17.03845,1.0,5.11111,0.16667,4.25926
Schwerte (Ruhr),Unna,11.0,-2.0,2.74565,2.0,0.95122,0.62727,0.35455
Unna,Dortmund Hbf,55.0,-91.0,22.3857,1.0,-6.91304,0.14815,-5.88889
Hamm (Westf) Hbf,Münster (Westf) Hbf,139.0,-15.0,32.24641,5.0,4.09524,0.26829,2.99652
Osnabrück Hbf,Bünde (Westf),19.0,-1.0,3.94235,1.0,3.90196,0.15,3.31667
Bünde (Westf),Hannover Hbf,7.0,-4.0,2.68133,1.0,-0.92157,0.15,-0.78333
Hannover Hbf,Berlin-Lichtenberg,4.0,-48.0,7.34893,1.0,-5.1,0.33333,-3.4
Berlin-Lichtenberg,Wolfsburg Hbf,2.0,0.0,0.28671,1.0,1.5,0.96667,0.05
Uelzen,Hannover Hbf,84.0,-107.0,22.52214,3.0,-0.93069,0.42938,-0.53107
