date,Leipzig_Hbf.in,Leipzig_Hbf.out,Weißenfels.in,Weißenfels.out,Naumburg(Saale)Hbf.in,Naumburg(Saale)Hbf.out,Jena_Paradies.in,Jena_Paradies.out,Jena-Göschwitz.in,Jena-Göschwitz.out,Rudolstadt(Thür).in,Rudolstadt(Thür).out,Saalfeld(Saale).in,Saalfeld(Saale).out,Ludwigsstadt.in,Ludwigsstadt.out,Kronach.in,Kronach.out,Lichtenfels.in,Lichtenfels.out,Bamberg.in,Bamberg.out,Erlangen.in,Erlangen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ansbach.in,Ansbach.out,Crailsheim.in,Crailsheim.out,Ellwangen.in,Ellwangen.out,Aalen_Hbf.in,Aalen_Hbf.out,Schwäbisch_Gmünd.in,Schwäbisch_Gmünd.out,Schorndorf.in,Schorndorf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Mühlacker.in,Mühlacker.out,Pforzheim_Hbf.in,Pforzheim_Hbf.out,Karlsruhe-Durlach.in,Karlsruhe-Durlach.out,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out
2024-04-17,-1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,2.0,3.0,6.0,4.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,4.0,9.0,9.0,10.0,10.0,9.0,8.0,7.0,6.0,3.0,-1.0
2024-04-16,-1.0,0.0,6.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,6.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-15,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,6.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0
2024-04-14,-1.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,4.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0
2024-04-13,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,6.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,7.0,7.0,4.0,4.0,16.0,20.0,19.0,19.0,19.0,19.0,16.0,15.0,25.0,30.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,32.0,30.0,-1.0
2024-04-12,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-11,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,10.0,8.0,8.0,10.0,8.0,10.0,11.0,8.0,7.0,6.0,13.0,12.0,13.0,13.0,13.0,10.0,9.0,9.0,9.0,9.0,8.0,7.0,6.0,5.0,5.0,5.0,4.0,3.0,-1.0
2024-04-10,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,7.0,8.0,6.0,6.0,4.0,4.0,4.0,3.0,2.0,0.0,-1.0
2024-04-09,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,6.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,6.0,12.0,11.0,11.0,6.0,8.0,7.0,8.0,8.0,7.0,7.0,6.0,4.0,3.0,5.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0
2024-04-08,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,5.0,5.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,4.0,59.0,58.0,57.0,56.0,63.0,65.0,66.0,65.0,0.0,0.0,0.0,0.0,57.0,56.0,53.0,-1.0
2024-04-06,-1.0,1.0,8.0,9.0,7.0,6.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,7.0,6.0,6.0,6.0,6.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-05,-1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,11.0,9.0,9.0,12.0,18.0,19.0,20.0,18.0,17.0,17.0,22.0,22.0,23.0,23.0,23.0,22.0,21.0,22.0,25.0,27.0,26.0,26.0,25.0,24.0,24.0,24.0,23.0,19.0,-1.0
2024-04-04,-1.0,1.0,6.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-03,-1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,7.0,5.0,5.0,5.0,6.0,5.0,6.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-02,-1.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,3.0,3.0,5.0,6.0,3.0,3.0,1.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-01,-1.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,6.0,6.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
