date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Bonn-Beuel.in,Bonn-Beuel.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Herford.in,Herford.out,Bad_Oeynhausen.in,Bad_Oeynhausen.out,Minden(Westf).in,Minden(Westf).out,Hannover_Hbf.in,Hannover_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Köthen.in,Köthen.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Riesa.in,Riesa.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Dresden_Hbf.in,Dresden_Hbf.out
2024-04-27,-1.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,0.0,1.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,13.0,11.0,10.0,9.0,4.0,4.0,9.0,10.0,9.0,5.0,4.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,-1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,8.0,6.0,7.0,6.0,5.0,4.0,12.0,12.0,13.0,8.0,7.0,6.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,-1.0
2024-04-25,-1.0,1.0,0.0,1.0,2.0,3.0,2.0,3.0,8.0,10.0,11.0,11.0,0.0,0.0,20.0,19.0,0.0,0.0,0.0,0.0,22.0,22.0,25.0,25.0,33.0,33.0,36.0,35.0,37.0,32.0,38.0,37.0,41.0,44.0,45.0,44.0,44.0,44.0,43.0,43.0,42.0,43.0,39.0,24.0,20.0,19.0,18.0,15.0,16.0,14.0,13.0,6.0,7.0,2.0,1.0,1.0,0.0,0.0,1.0,-1.0
2024-04-24,-1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,6.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,2.0,1.0,1.0,5.0,4.0,5.0,1.0,5.0,4.0,7.0,7.0,6.0,6.0,5.0,5.0,3.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,6.0,5.0,4.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,-1.0
2024-04-23,-1.0,19.0,19.0,19.0,20.0,20.0,24.0,24.0,25.0,25.0,31.0,29.0,0.0,0.0,41.0,39.0,0.0,0.0,0.0,0.0,49.0,49.0,48.0,48.0,43.0,42.0,48.0,47.0,53.0,47.0,49.0,48.0,50.0,48.0,47.0,47.0,49.0,48.0,47.0,46.0,46.0,46.0,44.0,29.0,28.0,27.0,26.0,24.0,29.0,27.0,31.0,26.0,27.0,17.0,15.0,15.0,13.0,13.0,11.0,-1.0
2024-04-22,-1.0,5.0,5.0,6.0,8.0,9.0,6.0,6.0,7.0,7.0,4.0,7.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,9.0,9.0,12.0,12.0,9.0,8.0,8.0,10.0,11.0,7.0,16.0,16.0,15.0,15.0,13.0,14.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,4.0,0.0,1.0,0.0,1.0,6.0,4.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0
2024-04-21,-1.0,1.0,1.0,1.0,3.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,3.0,3.0,3.0,4.0,1.0,5.0,4.0,5.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,-1.0
2024-04-19,-1.0,0.0,5.0,6.0,4.0,5.0,4.0,4.0,1.0,2.0,1.0,3.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,15.0,13.0,14.0,9.0,12.0,11.0,9.0,10.0,24.0,23.0,26.0,-1.0
2024-04-18,-1.0,18.0,17.0,19.0,20.0,22.0,19.0,20.0,27.0,28.0,32.0,31.0,0.0,0.0,32.0,31.0,0.0,0.0,0.0,0.0,32.0,33.0,31.0,31.0,26.0,25.0,28.0,28.0,32.0,28.0,30.0,29.0,30.0,28.0,28.0,28.0,27.0,27.0,28.0,28.0,29.0,33.0,32.0,16.0,16.0,15.0,20.0,20.0,20.0,19.0,18.0,11.0,13.0,5.0,10.0,10.0,12.0,11.0,12.0,-1.0
2024-04-17,-1.0,5.0,6.0,6.0,4.0,4.0,6.0,7.0,18.0,19.0,39.0,39.0,0.0,0.0,40.0,39.0,0.0,0.0,0.0,0.0,42.0,41.0,44.0,44.0,41.0,42.0,42.0,42.0,42.0,38.0,43.0,42.0,45.0,44.0,43.0,43.0,42.0,42.0,43.0,43.0,45.0,45.0,43.0,29.0,31.0,30.0,29.0,27.0,27.0,27.0,27.0,20.0,25.0,16.0,23.0,25.0,26.0,26.0,24.0,-1.0
