date,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Stendal_Hbf.in,Stendal_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Hildesheim_Hbf.in,Hildesheim_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out
2024-04-14,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-13,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-12,-1.0,1.0,-1.0,4.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-11,-1.0,0.0,-1.0,2.0,1.0,2.0,0.0,0.0,0.0,7.0,4.0,4.0,6.0,7.0,2.0,-1.0,0.0,0.0,0.0,0.0
2024-04-10,-1.0,0.0,-1.0,2.0,2.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-09,-1.0,1.0,-1.0,1.0,5.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,-1.0,0.0,0.0,0.0,0.0
2024-04-08,-1.0,3.0,-1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,27.0,22.0,-1.0,0.0,0.0,0.0,0.0
2024-04-07,-1.0,1.0,-1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,-1.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,9.0,9.0,12.0,13.0,0.0,0.0,0.0,-1.0
2024-04-04,-1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0,9.0,10.0,10.0,6.0,-1.0,0.0,0.0,0.0,0.0
2024-04-03,-1.0,1.0,-1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,-1.0,0.0,0.0,0.0,0.0
2024-04-02,-1.0,1.0,-1.0,2.0,1.0,1.0,0.0,0.0,8.0,7.0,8.0,8.0,8.0,9.0,6.0,-1.0,0.0,0.0,0.0,0.0
2024-04-01,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,5.0,2.0,-1.0,0.0,0.0,0.0,0.0
