date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Esslingen(Neckar).in,Esslingen(Neckar).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-04-14,-1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,4.0,6.0,5.0,6.0,7.0,6.0,6.0,4.0,4.0,4.0,-1.0
2024-04-12,-1.0,0.0,0.0,0.0,5.0,5.0,2.0,3.0,0.0,0.0,6.0,5.0,2.0,3.0,7.0,8.0,0.0,0.0,0.0,0.0,5.0,5.0,8.0,9.0,8.0,8.0,15.0,16.0,13.0,14.0,12.0,13.0,12.0,-1.0
2024-04-11,-1.0,1.0,-1.0,4.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,4.0,3.0,3.0,40.0,42.0,0.0,0.0,0.0,0.0,37.0,38.0,34.0,36.0,33.0,32.0,43.0,43.0,42.0,42.0,40.0,40.0,38.0,-1.0
2024-04-10,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,5.0,4.0,4.0,13.0,14.0,0.0,0.0,0.0,0.0,11.0,12.0,9.0,19.0,47.0,49.0,50.0,50.0,59.0,60.0,62.0,63.0,63.0,-1.0
2024-04-09,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,7.0,9.0,9.0,0.0,0.0,0.0,0.0,8.0,9.0,7.0,8.0,7.0,5.0,7.0,8.0,6.0,6.0,20.0,20.0,19.0,-1.0
2024-04-08,-1.0,21.0,-1.0,20.0,18.0,18.0,17.0,18.0,0.0,0.0,16.0,19.0,18.0,27.0,30.0,31.0,0.0,0.0,0.0,0.0,27.0,27.0,24.0,25.0,23.0,22.0,22.0,23.0,21.0,21.0,19.0,21.0,19.0,-1.0
2024-04-07,-1.0,4.0,-1.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,7.0,2.0,3.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,13.0,0.0,0.0,0.0,0.0,9.0,11.0,7.0,9.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,6.0,0.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-04,-1.0,1.0,-1.0,1.0,5.0,5.0,1.0,2.0,0.0,11.0,0.0,0.0,12.0,12.0,22.0,24.0,0.0,0.0,0.0,0.0,22.0,23.0,19.0,21.0,17.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,-1.0,3.0,2.0,1.0,13.0,13.0,9.0,8.0,4.0,3.0,0.0,0.0,53.0,59.0,69.0,69.0,0.0,0.0,0.0,0.0,66.0,68.0,63.0,65.0,60.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,7.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,3.0,66.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
