date,München_Hbf.in,München_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Hagen_Hbf.in,Hagen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-04-10,-1.0,1.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,2.0,2.0,3.0,37.0,38.0,37.0,32.0,0.0,0.0,0.0,0.0,29.0,29.0,30.0,28.0,26.0,26.0,24.0,25.0,23.0,-1.0
2024-04-09,-1.0,1.0,1.0,1.0,4.0,4.0,0.0,1.0,6.0,9.0,10.0,11.0,7.0,8.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,-1.0
2024-04-08,-1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,2.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,28.0,27.0,25.0,26.0,24.0,27.0,29.0,-1.0
2024-04-07,-1.0,2.0,2.0,3.0,4.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,4.0,4.0,4.0,6.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-1.0
2024-04-06,-1.0,24.0,25.0,26.0,25.0,31.0,40.0,55.0,59.0,60.0,60.0,61.0,55.0,55.0,60.0,60.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-1.0
2024-04-05,-1.0,1.0,8.0,8.0,1.0,1.0,0.0,-1.0,4.0,6.0,8.0,10.0,5.0,5.0,5.0,6.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0
2024-04-04,-1.0,2.0,0.0,5.0,3.0,2.0,1.0,2.0,5.0,14.0,16.0,16.0,12.0,13.0,14.0,10.0,0.0,0.0,0.0,0.0,31.0,29.0,0.0,0.0,50.0,50.0,50.0,51.0,50.0,-1.0
2024-04-03,-1.0,2.0,0.0,2.0,4.0,3.0,0.0,1.0,8.0,11.0,12.0,14.0,12.0,11.0,11.0,6.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,17.0,19.0,20.0,21.0,20.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,3.0,2.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,9.0,9.0,9.0,7.0,-1.0
2024-04-01,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
