source,target,sumDelay,numTrains,numDelayedTrains,avgDelay,punctuality
Frankfurt am Main Flughafen Fernbahnhof,Fulda,-20.0,22,5,-0.9091,0.2273
Fulda,Duisburg Hbf,2.0,23,4,0.087,0.1739
Duisburg Hbf,Erlangen,1.0,23,3,0.0435,0.1304
Erfurt Hbf,Dortmund Hbf,-10.0,23,2,-0.4348,0.087
Dortmund Hbf,Leipzig Hbf,17.0,23,2,0.7391,0.087
Berlin Südkreuz,Limburg Süd,-28.0,22,4,-1.2727,0.1818
Siegburg/Bonn,Hamburg Dammtor,1.0,22,4,0.0455,0.1818
Hamburg-Altona,Bruchsal,0.0,21,0,0.0,0.0
Bruchsal,Berlin Ostbahnhof,-1.0,21,1,-0.0476,0.0476
Berlin Ostbahnhof,Vaihingen (Enz),-9.0,22,2,-0.4091,0.0909
Wiesloch-Walldorf,Frankfurt (Main) Hbf,5.0,17,2,0.2941,0.1176
Frankfurt (Main) Hbf,Heidelberg Hbf,-68.0,21,4,-3.2381,0.1905
Wiesbaden Hbf,Berlin Hbf,42.0,20,3,2.1,0.15
