date,München_Hbf.in,München_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Erlangen.in,Erlangen.out,Bamberg.in,Bamberg.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Bitterfeld.in,Bitterfeld.out,Lutherstadt_Wittenberg_Hbf.in,Lutherstadt_Wittenberg_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out
2024-04-19,0.0,19.0,0.0,0.0,23.0,21.0,23.0,22.0,22.0,22.0,18.0,18.0,12.0,11.0,12.0,12.0,11.0,11.0,8.0,8.0,8.0,8.0,0.0,0.0,8.0,0.0
2024-04-18,0.0,3.0,0.0,0.0,19.0,18.0,20.0,19.0,19.0,19.0,18.0,17.0,19.0,18.0,18.0,19.0,18.0,19.0,19.0,19.0,19.0,0.0,0.0,0.0,18.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,1.0,6.0,7.0,6.0,7.0,7.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,11.0,0.0
2024-04-16,0.0,2.0,0.0,0.0,5.0,6.0,5.0,6.0,9.0,9.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0
2024-04-15,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0
2024-04-14,0.0,1.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0
2024-04-13,0.0,1.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,2.0,0.0,9.0,44.0,44.0,42.0,42.0,40.0,40.0,36.0,36.0,36.0,37.0,0.0,0.0,34.0,0.0
2024-04-12,0.0,2.0,0.0,0.0,6.0,8.0,8.0,8.0,8.0,7.0,1.0,1.0,1.0,8.0,8.0,8.0,6.0,7.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0
2024-04-11,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
2024-04-10,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,10.0,0.0,0.0,0.0,0.0
2024-04-09,0.0,13.0,0.0,0.0,9.0,7.0,12.0,12.0,13.0,13.0,10.0,10.0,3.0,13.0,14.0,15.0,16.0,17.0,17.0,17.0,16.0,16.0,0.0,0.0,15.0,0.0
2024-04-08,0.0,7.0,0.0,0.0,17.0,16.0,16.0,16.0,15.0,15.0,10.0,9.0,3.0,8.0,8.0,8.0,6.0,7.0,3.0,3.0,2.0,4.0,0.0,0.0,2.0,0.0
2024-04-07,0.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,8.0,8.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0
2024-04-06,0.0,3.0,0.0,0.0,4.0,8.0,12.0,12.0,18.0,18.0,13.0,13.0,12.0,16.0,25.0,25.0,23.0,24.0,19.0,19.0,19.0,19.0,0.0,0.0,17.0,0.0
2024-04-05,0.0,1.0,0.0,0.0,0.0,8.0,7.0,6.0,7.0,8.0,1.0,1.0,0.0,10.0,8.0,9.0,7.0,7.0,5.0,5.0,6.0,5.0,0.0,0.0,5.0,0.0
2024-04-04,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,7.0,2.0,7.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0
2024-04-03,0.0,1.0,0.0,0.0,5.0,4.0,11.0,12.0,14.0,15.0,9.0,9.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0
2024-04-02,0.0,2.0,0.0,0.0,6.0,6.0,5.0,5.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2024-04-01,0.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,2.0,10.0,9.0,8.0,8.0,6.0,6.0,5.0,5.0,4.0,5.0,0.0,0.0,4.0,0.0
