date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Fulda.in,Fulda.out,Bad_Hersfeld.in,Bad_Hersfeld.out,Eisenach.in,Eisenach.out,Gotha.in,Gotha.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Riesa.in,Riesa.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Dresden_Hbf.in,Dresden_Hbf.out
2024-04-10,0.0,3.0,0.0,0.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,0.0,1.0,4.0,4.0,2.0,0.0
2024-04-09,0.0,4.0,0.0,1.0,2.0,3.0,5.0,5.0,4.0,4.0,2.0,3.0,1.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0
2024-04-08,0.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,5.0,3.0,3.0,2.0,3.0,1.0,1.0,9.0,9.0,8.0,0.0
2024-04-07,0.0,5.0,0.0,1.0,2.0,2.0,5.0,6.0,6.0,7.0,5.0,6.0,2.0,10.0,6.0,8.0,7.0,6.0,5.0,0.0
2024-04-06,0.0,36.0,19.0,19.0,19.0,19.0,64.0,66.0,66.0,67.0,64.0,65.0,92.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2024-04-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,8.0,6.0,6.0,0.0
2024-04-04,0.0,0.0,22.0,23.0,21.0,21.0,20.0,21.0,22.0,22.0,19.0,19.0,20.0,19.0,17.0,18.0,18.0,16.0,15.0,0.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-04-02,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,8.0,7.0,5.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
