date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Ludwigslust.in,Ludwigslust.out,Wittenberge.in,Wittenberge.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Bitterfeld.in,Bitterfeld.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Coburg.in,Coburg.out,Bamberg.in,Bamberg.out,Erlangen.in,Erlangen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out
2024-04-21,0.0,14.0,14.0,13.0,13.0,41.0,0.0,0.0,42.0,42.0,50.0,52.0,51.0,43.0,43.0,43.0,0.0,0.0,37.0,38.0,39.0,39.0,35.0,30.0,31.0,31.0,30.0,30.0,34.0,34.0,31.0,0.0
2024-04-20,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,17.0,22.0,18.0,18.0,18.0,11.0,10.0,9.0,0.0,0.0,3.0,4.0,4.0,5.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0
2024-04-19,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,36.0,37.0,37.0,37.0,37.0,29.0,28.0,29.0,0.0,0.0,24.0,25.0,27.0,28.0,24.0,24.0,20.0,20.0,16.0,16.0,17.0,16.0,14.0,0.0
2024-04-18,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,8.0,7.0,6.0,7.0,4.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0
2024-04-16,0.0,23.0,24.0,25.0,26.0,26.0,0.0,0.0,33.0,32.0,33.0,33.0,31.0,23.0,23.0,23.0,0.0,0.0,18.0,19.0,18.0,18.0,19.0,14.0,12.0,13.0,10.0,10.0,11.0,12.0,13.0,0.0
2024-04-15,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,17.0,16.0,13.0,13.0,10.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,10.0,20.0,0.0,0.0,105.0,0.0
2024-04-14,0.0,13.0,13.0,14.0,14.0,15.0,0.0,0.0,0.0,0.0,18.0,18.0,20.0,12.0,14.0,14.0,0.0,0.0,7.0,7.0,5.0,4.0,0.0,0.0,1.0,1.0,1.0,88.0,87.0,86.0,84.0,0.0
2024-04-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,72.0,71.0,69.0,60.0,59.0,59.0,0.0,0.0,57.0,57.0,55.0,55.0,81.0,75.0,73.0,72.0,68.0,67.0,66.0,66.0,62.0,0.0
2024-04-12,0.0,0.0,3.0,4.0,5.0,5.0,0.0,0.0,8.0,7.0,5.0,5.0,4.0,7.0,7.0,7.0,0.0,0.0,12.0,12.0,13.0,12.0,8.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-04-11,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,7.0,6.0,6.0,4.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0
2024-04-10,0.0,2.0,1.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,4.0,6.0,6.0,5.0,0.0
2024-04-09,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,9.0,7.0,7.0,6.0,1.0,3.0,4.0,0.0,0.0,11.0,13.0,12.0,13.0,10.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,0.0
2024-04-08,0.0,3.0,3.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,3.0,32.0,24.0,24.0,25.0,0.0,0.0,24.0,25.0,25.0,24.0,20.0,15.0,12.0,12.0,10.0,9.0,8.0,9.0,6.0,0.0
2024-04-07,0.0,0.0,2.0,2.0,9.0,11.0,0.0,0.0,8.0,7.0,4.0,4.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2024-04-06,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,9.0,9.0,7.0,3.0,4.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,21.0,21.0,20.0,20.0,19.0,19.0,15.0,0.0
2024-04-05,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,4.0,5.0,15.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0
2024-04-04,0.0,1.0,1.0,2.0,2.0,6.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,12.0,8.0,8.0,6.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0,4.0,2.0,2.0,1.0,1.0,2.0,0.0
2024-04-01,0.0,13.0,15.0,15.0,16.0,16.0,0.0,0.0,18.0,17.0,17.0,17.0,15.0,7.0,6.0,6.0,0.0,0.0,3.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,6.0,12.0,0.0
