date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-04-26,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,0.0,0.0,3.0,3.0,5.0,5.0,13.0,11.0,12.0,13.0,14.0,12.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
2024-04-25,0.0,24.0,23.0,24.0,22.0,22.0,18.0,18.0,19.0,18.0,17.0,25.0,31.0,32.0,0.0,0.0,0.0,0.0,30.0,30.0,31.0,31.0,0.0,0.0,56.0,56.0,55.0,56.0,56.0,54.0,63.0,63.0,60.0,60.0,53.0,54.0,58.0,58.0,64.0,61.0,59.0,59.0,59.0,0.0
2024-04-24,0.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,16.0,16.0,16.0,14.0,7.0,7.0,19.0,19.0,22.0,22.0,58.0,58.0,0.0,0.0
2024-04-23,0.0,2.0,2.0,2.0,8.0,8.0,2.0,2.0,0.0,2.0,2.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,7.0,7.0,0.0,0.0,6.0,5.0,5.0,5.0,5.0,3.0,14.0,12.0,12.0,11.0,7.0,6.0,5.0,4.0,9.0,18.0,38.0,38.0,40.0,0.0
2024-04-22,0.0,1.0,1.0,1.0,0.0,6.0,0.0,1.0,1.0,1.0,2.0,1.0,5.0,11.0,0.0,0.0,0.0,0.0,5.0,11.0,10.0,10.0,0.0,0.0,8.0,9.0,8.0,7.0,7.0,6.0,10.0,9.0,9.0,7.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,7.0,0.0
2024-04-21,0.0,14.0,15.0,16.0,22.0,21.0,17.0,18.0,17.0,17.0,15.0,12.0,15.0,16.0,0.0,0.0,0.0,0.0,51.0,52.0,54.0,54.0,0.0,0.0,51.0,51.0,51.0,51.0,50.0,50.0,54.0,54.0,52.0,52.0,46.0,50.0,54.0,53.0,57.0,56.0,56.0,55.0,57.0,0.0
2024-04-20,0.0,3.0,2.0,3.0,6.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,5.0,0.0,0.0,3.0,3.0,3.0,4.0,7.0,7.0,10.0,10.0,11.0,9.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0
2024-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,8.0,10.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,0.0,0.0,7.0,8.0,7.0,8.0,7.0,7.0,12.0,10.0,14.0,14.0,8.0,8.0,6.0,6.0,9.0,9.0,6.0,5.0,7.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,6.0,10.0,5.0,5.0,0.0,0.0,4.0,3.0,11.0,11.0,10.0,9.0,11.0,9.0,10.0,9.0,5.0,5.0,4.0,4.0,7.0,7.0,4.0,3.0,4.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,0.0,0.0,4.0,3.0,6.0,6.0,6.0,4.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,3.0,3.0,3.0,8.0,8.0,10.0,8.0,8.0,6.0,6.0,6.0,11.0,11.0,12.0,11.0,9.0,11.0,12.0,0.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,9.0,11.0,0.0,0.0,0.0,0.0,7.0,9.0,11.0,11.0,0.0,0.0,8.0,8.0,7.0,7.0,15.0,16.0,14.0,13.0,18.0,16.0,17.0,18.0,14.0,14.0,16.0,16.0,12.0,16.0,16.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,11.0,17.0,26.0,27.0,34.0,32.0,29.0,31.0,32.0,32.0,36.0,36.0,30.0,30.0,35.0,0.0
2024-04-13,0.0,1.0,0.0,2.0,4.0,3.0,4.0,7.0,5.0,6.0,11.0,18.0,22.0,27.0,0.0,0.0,0.0,0.0,20.0,23.0,23.0,24.0,0.0,0.0,22.0,22.0,26.0,27.0,28.0,27.0,30.0,31.0,55.0,53.0,46.0,45.0,43.0,42.0,42.0,43.0,39.0,39.0,39.0,0.0
2024-04-12,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,0.0,0.0,12.0,12.0,11.0,11.0,10.0,11.0,15.0,15.0,22.0,20.0,14.0,14.0,98.0,97.0,98.0,96.0,96.0,96.0,94.0,0.0
2024-04-11,0.0,0.0,0.0,2.0,0.0,0.0,5.0,8.0,5.0,4.0,1.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,8.0,9.0,9.0,9.0,0.0,0.0,10.0,9.0,8.0,8.0,9.0,10.0,11.0,10.0,10.0,8.0,0.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,5.0,0.0
2024-04-10,0.0,11.0,12.0,13.0,10.0,9.0,4.0,4.0,1.0,9.0,6.0,3.0,8.0,14.0,0.0,0.0,0.0,0.0,7.0,7.0,9.0,9.0,0.0,0.0,8.0,7.0,13.0,13.0,12.0,11.0,11.0,10.0,8.0,8.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0
2024-04-09,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,4.0,3.0,3.0,9.0,8.0,11.0,9.0,8.0,8.0,19.0,20.0,21.0,23.0,17.0,17.0,20.0,0.0
2024-04-08,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,5.0,2.0,1.0,13.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,33.0,39.0,39.0,37.0,35.0,30.0,30.0,26.0,26.0,33.0,33.0,25.0,25.0,30.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,0.0,0.0,4.0,4.0,7.0,8.0,6.0,6.0,10.0,9.0,15.0,13.0,8.0,8.0,6.0,6.0,10.0,10.0,7.0,7.0,8.0,0.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,13.0,15.0,18.0,0.0,0.0,0.0,0.0,15.0,21.0,26.0,27.0,0.0,0.0,26.0,26.0,25.0,25.0,25.0,27.0,33.0,33.0,34.0,34.0,25.0,28.0,34.0,34.0,34.0,34.0,31.0,31.0,33.0,0.0
2024-04-05,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,5.0,4.0,6.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,10.0,10.0,9.0,12.0,11.0,10.0,9.0,7.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0
2024-04-04,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,5.0,7.0,11.0,6.0,10.0,13.0,0.0,0.0,0.0,0.0,11.0,10.0,11.0,11.0,0.0,0.0,9.0,9.0,12.0,12.0,12.0,11.0,13.0,12.0,17.0,17.0,15.0,17.0,57.0,58.0,61.0,61.0,58.0,58.0,58.0,0.0
2024-04-03,0.0,1.0,1.0,2.0,0.0,0.0,5.0,9.0,8.0,10.0,9.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,6.0,5.0,4.0,4.0,0.0,0.0,19.0,19.0,22.0,25.0,29.0,29.0,45.0,38.0,37.0,36.0,34.0,33.0,33.0,33.0,34.0,34.0,30.0,30.0,31.0,0.0
2024-04-02,0.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,10.0,6.0,6.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,2.0,3.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0
2024-04-01,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,5.0,5.0,3.0,0.0,1.0,7.0,6.0,8.0,8.0,5.0,6.0,7.0,0.0
