date,Westerland(Sylt).in,Westerland(Sylt).out,Keitum.in,Keitum.out,Klanxbüll.in,Klanxbüll.out,Niebüll_neg.in,Niebüll_neg.out,Niebüll.in,Niebüll.out,Husum.in,Husum.out,Heide(Holst).in,Heide(Holst).out,Itzehoe.in,Itzehoe.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Ludwigslust.in,Ludwigslust.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out
2024-04-27,0.0,3.0,1.0,2.0,6.0,7.0,10.0,6.0,10.0,6.0,15.0,15.0,16.0,17.0,19.0,2.0,15.0,15.0,18.0,18.0,10.0,10.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0
2024-04-26,0.0,12.0,10.0,10.0,15.0,16.0,17.0,6.0,18.0,6.0,4.0,4.0,5.0,5.0,28.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0
2024-04-25,0.0,1.0,0.0,1.0,5.0,6.0,10.0,6.0,10.0,6.0,1.0,0.0,2.0,2.0,3.0,11.0,15.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
2024-04-24,0.0,5.0,4.0,4.0,9.0,9.0,5.0,0.0,5.0,0.0,0.0,2.0,4.0,6.0,13.0,18.0,18.0,18.0,18.0,20.0,17.0,17.0,16.0,15.0,20.0,19.0,25.0,0.0,0.0,0.0
2024-04-23,0.0,1.0,0.0,2.0,3.0,4.0,0.0,0.0,6.0,2.0,0.0,2.0,3.0,3.0,5.0,5.0,10.0,9.0,5.0,11.0,10.0,10.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2024-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-04-21,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,20.0,21.0,21.0,27.0,25.0,28.0,29.0,29.0,29.0,27.0,29.0,23.0,24.0,22.0,22.0,30.0,0.0,0.0,0.0
2024-04-20,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,6.0,8.0,5.0,5.0,5.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
2024-04-19,0.0,4.0,3.0,3.0,5.0,5.0,3.0,9.0,4.0,9.0,5.0,4.0,4.0,4.0,5.0,3.0,6.0,6.0,9.0,11.0,16.0,17.0,17.0,17.0,25.0,23.0,27.0,0.0,0.0,0.0
2024-04-18,0.0,1.0,0.0,0.0,1.0,6.0,8.0,13.0,8.0,13.0,9.0,9.0,9.0,9.0,14.0,11.0,8.0,8.0,10.0,12.0,18.0,19.0,16.0,15.0,16.0,16.0,18.0,0.0,0.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,1.0,4.0,11.0,14.0,12.0,14.0,14.0,14.0,14.0,13.0,14.0,14.0,18.0,18.0,18.0,18.0,12.0,13.0,12.0,12.0,11.0,11.0,12.0,0.0,0.0,0.0
2024-04-16,0.0,1.0,0.0,0.0,1.0,2.0,1.0,8.0,1.0,8.0,6.0,5.0,6.0,5.0,6.0,3.0,29.0,29.0,29.0,29.0,25.0,26.0,25.0,25.0,24.0,26.0,0.0,0.0,0.0,0.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,7.0,3.0,3.0,5.0,4.0,5.0,0.0,0.0,0.0
2024-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,44.0,43.0,42.0,42.0,44.0,0.0,0.0,0.0
2024-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,38.0,37.0,38.0,37.0,39.0,0.0,0.0,0.0
2024-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,21.0,17.0,17.0,19.0,21.0,22.0,0.0,0.0,0.0
2024-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,31.0,32.0,26.0,26.0,25.0,27.0,28.0,0.0,0.0,0.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,3.0,3.0,4.0,2.0,2.0,6.0,0.0,0.0,0.0
