date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-04-11,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-04-10,0.0,25.0,0.0,24.0,23.0,21.0,23.0,27.0,27.0,27.0,44.0,42.0,45.0,45.0,46.0,45.0,46.0,47.0,47.0,47.0,47.0,49.0,49.0,50.0,49.0,49.0,54.0,0.0
2024-04-09,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,17.0,16.0,46.0,48.0,49.0,54.0,53.0,51.0,52.0,52.0,51.0,51.0,49.0,50.0,50.0,50.0,49.0,50.0,48.0,0.0
2024-04-08,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,6.0,8.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,9.0,0.0
2024-04-07,0.0,4.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,45.0,44.0,44.0,49.0,50.0,51.0,53.0,53.0,53.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,15.0,15.0,13.0,15.0,10.0,9.0,9.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-04,0.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,5.0,4.0,4.0,13.0,16.0,12.0,11.0,12.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,8.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,15.0,15.0,10.0,9.0,8.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,3.0,0.0,5.0,0.0,3.0,1.0,11.0,74.0,77.0,75.0,75.0,81.0,85.0,84.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
