date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-04-21,0.0,0.0,0.0,0.0,0.0,7.0,6.0,8.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,0.0
2024-04-20,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2024-04-19,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,26.0,0.0
2024-04-18,0.0,17.0,16.0,16.0,16.0,16.0,14.0,15.0,9.0,9.0,2.0,2.0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,60.0,59.0,59.0,61.0,60.0,59.0,59.0,67.0,67.0,0.0,0.0,69.0,0.0
2024-04-17,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,19.0,20.0,19.0,18.0,18.0,19.0,21.0,21.0,0.0,0.0,20.0,0.0
2024-04-16,0.0,1.0,7.0,7.0,6.0,6.0,6.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,0.0,0.0,3.0,0.0
2024-04-15,0.0,3.0,2.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,5.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
2024-04-14,0.0,19.0,18.0,19.0,17.0,20.0,19.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-13,0.0,17.0,19.0,20.0,18.0,18.0,18.0,19.0,16.0,18.0,10.0,10.0,9.0,10.0,8.0,7.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,8.0,6.0,8.0,7.0,0.0,0.0,5.0,0.0
2024-04-12,0.0,1.0,4.0,4.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,6.0,15.0,15.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,16.0,16.0,24.0,23.0,0.0,0.0,22.0,0.0
