,id,additionalIds,ril100,nr,name,weight,category,priceCategory,hasParking,hasBicycleParking,hasLocalPublicTransport,hasPublicFacilities,hasLockerSystem,hasTaxiRank,hasTravelNecessities,hasSteplessAccess,hasMobilityService,hasWiFi,hasTravelCenter,hasRailwayMission,hasDBLounge,hasLostAndFound,hasCarRental,federalState,ril100Identifiers,location.type,location.latitude,location.longitude,operator.type,operator.id,operator.name,regionalbereich.number,regionalbereich.name,regionalbereich.shortName,szentrale.number,szentrale.publicPhoneNumber,szentrale.name,stationManagement.number,stationManagement.name,productLine.type,productLine.segment,platforms
2127,8004433,[],KNIK,4553,Nieukerk,57.45,6,6,True,True,True,False,False,False,False,yes,no,False,False,False,False,False,False,Nordrhein-Westfalen,"[{'rilIdentifier': 'KNIK', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [6.375586, 51.458081]}}]",location,51.458081,6.375586,operator,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,4,RB West,RB West,15,0203/30171055,Duisburg Hbf,44,Duisburg,Zubringerbahnhof,Regionaler Zubringer,2.0
2128,8004435,[],FNIV,4555,Nievern,35.2,6,6,True,True,True,False,False,False,False,yes,no,False,False,False,False,False,False,Rheinland-Pfalz,"[{'rilIdentifier': 'FNIV', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [7.681876, 50.337385]}}]",location,50.337385,7.681876,operator,zweckverband-schienenpersonennahverkehr-rheinland-pfalz-nord,ZVRP Nord,5,RB Mitte,RB Mitte,24,06131/151055,Mainz Hbf,181,Koblenz,Zubringerbahnhof,ländlicher Zubringer,2.0
2129,8004438,[],SNI,4559,Nittel,22.8,6,6,True,False,False,False,False,False,False,no,no,False,False,False,False,False,False,Rheinland-Pfalz,"[{'rilIdentifier': 'SNI', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [6.440942, 49.654264]}}]",location,49.654264,6.440942,operator,zweckverband-schienenpersonennahverkehr-rheinland-pfalz-nord,ZVRP Nord,5,RB Mitte,RB Mitte,25,0681/308-1055,Saarbrücken Hbf,189,Saarbrücken,Zubringerbahnhof,ländlicher Zubringer,3.0
2130,8004441,[],HNTH,4586,Nörten-Hardenberg,79.3,5,5,True,True,True,False,False,True,False,partial,no,False,False,False,False,False,False,Niedersachsen,"[{'rilIdentifier': 'HNTH', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [9.933096, 51.628184]}}]",location,51.628184,9.933096,operator,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,3,RB Nord,RB Nord,8,0511/2861055,Hannover Hbf,20,Braunschweig / Göttingen,Zubringerbahnhof,Regionaler Zubringer,2.0
2131,8004444,[],SNON,4563,Nohen,25.8,7,7,False,False,False,False,False,False,False,yes,no,False,False,False,False,False,False,Rheinland-Pfalz,"[{'rilIdentifier': 'SNON', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [7.242085, 49.639648]}}]",location,49.639648,7.242085,operator,zweckverband-schienenpersonennahverkehr-rheinland-pfalz-sud,ZPNV Süd,5,RB Mitte,RB Mitte,24,06131/151055,Mainz Hbf,184,Mainz,Zubringerbahnhof,ländlicher Zubringer,2.0
2132,8004446,[],MNHN,4567,Nonnenhorn,36.8,6,6,True,True,False,False,False,False,False,yes,no,False,False,False,False,False,False,Bayern,"[{'rilIdentifier': 'MNHN', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [9.612676, 47.575118]}}]",location,47.575118,9.612676,operator,bayerische-eisenbahngesellschaft-mbh,BEG,7,RB Süd,RB Süd,38,089/13081055,München Hbf,237,Augsburg,Zubringerbahnhof,ländlicher Zubringer,2.0
2133,8004448,[],ENOB,4568,Bönen-Nordbögge,40.0,6,6,True,True,True,False,False,False,False,yes,no,False,False,False,False,False,False,Nordrhein-Westfalen,"[{'rilIdentifier': 'ENOB', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [7.7422, 51.615709]}}]",location,51.615709,7.7422,operator,zweckverband-nahverkehr-westfalen-lippe,NWL,4,RB West,RB West,14,0231/7291055,Dortmund Hbf,43,Dortmund,Zubringerbahnhof,ländlicher Zubringer,2.0
2134,8004449,[],HND,4569,Norddeich,33.7,6,6,True,True,True,True,False,True,False,yes,no,False,False,False,False,False,False,Niedersachsen,"[{'rilIdentifier': 'HND', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [7.160824, 53.621579]}}]",location,53.621579,7.160824,operator,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,3,RB Nord,RB Nord,6,0421-221-4780,Bremen Hbf,21,Bremen / Osnabrück,Zubringerbahnhof,ländlicher Zubringer,3.0
2135,8004451,[],MNOD,4572,Nordendorf,59.3,5,5,True,True,True,False,False,False,False,yes,no,False,False,False,False,False,False,Bayern,"[{'rilIdentifier': 'MNOD', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [10.837306, 48.593434]}}]",location,48.593434,10.837306,operator,bayerische-eisenbahngesellschaft-mbh,BEG,7,RB Süd,RB Süd,38,089/13081055,München Hbf,237,Augsburg,Zubringerbahnhof,Regionaler Zubringer,2.0
2136,8004452,[],HNO,4573,Nordenham,31.75,6,6,True,True,True,True,False,False,False,yes,no,False,False,False,False,False,False,Niedersachsen,"[{'rilIdentifier': 'HNO', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [8.487392, 53.483811]}}]",location,53.483811,8.487392,operator,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,3,RB Nord,RB Nord,6,0421-221-4780,Bremen Hbf,21,Bremen / Osnabrück,Zubringerbahnhof,Regionaler Zubringer,1.0
2137,8004453,[],NOBW,4709,Oberwerrn,36.85,6,6,True,True,False,False,False,False,False,yes,no,False,False,False,False,False,False,Bayern,"[{'rilIdentifier': 'NOBW', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [10.153804, 50.070342]}}]",location,50.070342,10.153804,operator,bayerische-eisenbahngesellschaft-mbh,BEG,7,RB Süd,RB Süd,44,0931/341055,Würzburg Hbf,236,Nordfranken,Zubringerbahnhof,Regionaler Zubringer,2.0
2138,8004456,[],ANH,4575,Nordhastedt,15.9,7,7,True,True,True,False,False,False,False,yes,no,False,False,False,False,False,False,Schleswig-Holstein,"[{'rilIdentifier': 'ANH', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [9.183515, 54.168383]}}]",location,54.168383,9.183515,operator,nahverkehrsverbund-schleswig-holstein-gmbh,NAH.SH,3,RB Nord,RB Nord,3,0431-2479-1055,Kiel Hbf,4,Schleswig-Holstein,Zubringerbahnhof,Regionaler Zubringer,1.0
2139,8004458,[],TNO,4578,Nordheim (Württ),68.75,6,6,True,True,False,False,False,False,False,partial,no,False,False,False,False,False,False,Baden-Württemberg,"[{'rilIdentifier': 'TNO', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [9.148811, 49.109384]}}]",location,49.109384,9.148811,operator,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,6,RB Südwest,RB Südwest,32,0621/8301055,Mannheim Hbf,202,Mannheim,Zubringerbahnhof,Regionaler Zubringer,2.0
2140,8004460,[],ANZ,4579,Nordholz,39.3,6,6,True,True,True,False,False,False,False,partial,no,False,False,False,False,False,False,Niedersachsen,"[{'rilIdentifier': 'ANZ', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [8.62137, 53.778743]}}]",location,53.778743,8.62137,operator,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,3,RB Nord,RB Nord,6,0421-221-4780,Bremen Hbf,21,Bremen / Osnabrück,Zubringerbahnhof,ländlicher Zubringer,1.0
